ubigeo_ori,ubigeo_des,cases,dept_ori,prov_ori,distr_ori,dept_des,prov_des,distr_des
070101,070101,363537,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO
070101,070102,1403,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,BELLAVISTA
070101,070103,744,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
070101,070104,966,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,LA PERLA
070101,070105,107,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,LA PUNTA
070101,070106,2075,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,VENTANILLA
070101,070107,71,CALLAO,CALLAO,CALLAO,CALLAO,CALLAO,MI PERU
070101,150101,2331,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LIMA
070101,150102,133,CALLAO,CALLAO,CALLAO,LIMA,LIMA,ANCON
070101,150103,575,CALLAO,CALLAO,CALLAO,LIMA,LIMA,ATE
070101,150104,75,CALLAO,CALLAO,CALLAO,LIMA,LIMA,BARRANCO
070101,150105,559,CALLAO,CALLAO,CALLAO,LIMA,LIMA,BRENA
070101,150106,392,CALLAO,CALLAO,CALLAO,LIMA,LIMA,CARABAYLLO
070101,150107,56,CALLAO,CALLAO,CALLAO,LIMA,LIMA,CHACLACAYO
070101,150108,397,CALLAO,CALLAO,CALLAO,LIMA,LIMA,CHORRILLOS
070101,150109,21,CALLAO,CALLAO,CALLAO,LIMA,LIMA,CIENEGUILLA
070101,150110,1243,CALLAO,CALLAO,CALLAO,LIMA,LIMA,COMAS
070101,150111,274,CALLAO,CALLAO,CALLAO,LIMA,LIMA,EL AGUSTINO
070101,150112,565,CALLAO,CALLAO,CALLAO,LIMA,LIMA,INDEPENDENCIA
070101,150113,329,CALLAO,CALLAO,CALLAO,LIMA,LIMA,JESUS MARIA
070101,150114,232,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LA MOLINA
070101,150115,520,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LA VICTORIA
070101,150116,263,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LINCE
070101,150117,2127,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LOS OLIVOS
070101,150118,167,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LURIGANCHO
070101,150119,73,CALLAO,CALLAO,CALLAO,LIMA,LIMA,LURIN
070101,150120,359,CALLAO,CALLAO,CALLAO,LIMA,LIMA,MAGDALENA DEL MAR
070101,150121,556,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PUEBLO LIBRE
070101,150122,189,CALLAO,CALLAO,CALLAO,LIMA,LIMA,MIRAFLORES
070101,150123,67,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PACHACAMAC
070101,150124,13,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PUCUSANA
070101,150125,549,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PUENTE PIEDRA
070101,150126,2,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PUNTA HERMOSA
070101,150127,1,CALLAO,CALLAO,CALLAO,LIMA,LIMA,PUNTA NEGRA
070101,150128,566,CALLAO,CALLAO,CALLAO,LIMA,LIMA,RIMAC
070101,150129,4,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN BARTOLO
070101,150130,208,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN BORJA
070101,150131,100,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN ISIDRO
070101,150132,1397,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN JUAN DE LURIGANCHO
070101,150133,349,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN JUAN DE MIRAFLORES
070101,150134,117,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN LUIS
070101,150135,6342,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN MARTIN DE PORRES
070101,150136,1630,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SAN MIGUEL
070101,150137,339,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SANTA ANITA
070101,150139,64,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SANTA ROSA
070101,150140,421,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SANTIAGO DE SURCO
070101,150141,190,CALLAO,CALLAO,CALLAO,LIMA,LIMA,SURQUILLO
070101,150142,355,CALLAO,CALLAO,CALLAO,LIMA,LIMA,VILLA EL SALVADOR
070101,150143,310,CALLAO,CALLAO,CALLAO,LIMA,LIMA,VILLA MARIA DEL TRIUNFO
070101,150201,93,CALLAO,CALLAO,CALLAO,LIMA,BARRANCA,BARRANCA
070101,150202,64,CALLAO,CALLAO,CALLAO,LIMA,BARRANCA,PARAMONGA
070101,150203,24,CALLAO,CALLAO,CALLAO,LIMA,BARRANCA,PATIVILCA
070101,150204,35,CALLAO,CALLAO,CALLAO,LIMA,BARRANCA,SUPE
070101,150205,11,CALLAO,CALLAO,CALLAO,LIMA,BARRANCA,SUPE PUERTO
070101,150301,2,CALLAO,CALLAO,CALLAO,LIMA,CAJATAMBO,CAJATAMBO
070101,150302,1,CALLAO,CALLAO,CALLAO,LIMA,CAJATAMBO,COPA
070101,150303,1,CALLAO,CALLAO,CALLAO,LIMA,CAJATAMBO,GORGOR
070101,150401,3,CALLAO,CALLAO,CALLAO,LIMA,CANTA,CANTA
070101,150407,1,CALLAO,CALLAO,CALLAO,LIMA,CANTA,SANTA ROSA DE QUIVES
070101,150501,86,CALLAO,CALLAO,CALLAO,LIMA,CANETE,SAN VICENTE DE CANETE
070101,150502,1,CALLAO,CALLAO,CALLAO,LIMA,CANETE,ASIA
070101,150504,6,CALLAO,CALLAO,CALLAO,LIMA,CANETE,CERRO AZUL
070101,150505,6,CALLAO,CALLAO,CALLAO,LIMA,CANETE,CHILCA
070101,150507,21,CALLAO,CALLAO,CALLAO,LIMA,CANETE,IMPERIAL
070101,150508,4,CALLAO,CALLAO,CALLAO,LIMA,CANETE,LUNAHUANA
070101,150509,18,CALLAO,CALLAO,CALLAO,LIMA,CANETE,MALA
070101,150510,10,CALLAO,CALLAO,CALLAO,LIMA,CANETE,NUEVO IMPERIAL
070101,150511,2,CALLAO,CALLAO,CALLAO,LIMA,CANETE,PACARAN
070101,150512,13,CALLAO,CALLAO,CALLAO,LIMA,CANETE,QUILMANA
070101,150513,2,CALLAO,CALLAO,CALLAO,LIMA,CANETE,SAN ANTONIO
070101,150514,8,CALLAO,CALLAO,CALLAO,LIMA,CANETE,SAN LUIS
070101,150601,82,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,HUARAL
070101,150603,1,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,ATAVILLOS BAJO
070101,150604,11,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,AUCALLAMA
070101,150605,54,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,CHANCAY
070101,150606,1,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,IHUARI
070101,150611,1,CALLAO,CALLAO,CALLAO,LIMA,HUARAL,SUMBILCA
070101,150701,11,CALLAO,CALLAO,CALLAO,LIMA,HUAROCHIRI,MATUCANA
070101,150705,2,CALLAO,CALLAO,CALLAO,LIMA,HUAROCHIRI,CHICLA
070101,150707,1,CALLAO,CALLAO,CALLAO,LIMA,HUAROCHIRI,HUACHUPAMPA
070101,150709,4,CALLAO,CALLAO,CALLAO,LIMA,HUAROCHIRI,HUAROCHIRI
