ubigeo,population,new_cases,max_temperature,min_temperature,mean_temperature,precipitation,evp,delta_temperature,department.x,province.x,district.x,in_degree,out_degree,in_strength,out_strength,in_closeness,out_closeness,closeness,betweenness,page_rank,alpha,authority,hub,department.y,province.y,district.y,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
150102,62928,47,17.05340864,16.06998599,16.8186476,4.553074443,-21.69591649,0.983422656,LIMA,LIMA,ANCON,0.7142857142857143,0.9047619047619048,260.9553717602467,818.0778032036615,0.03308359014063748,0.004263187640802518,0.11021601525629332,0.23228803716608595,0.004451536663738707,1.0312588218323664,0.018435552346110856,0.206663163415387,LIMA,LIMA,ANCON,0.656473404,0.19246935,78.39112846,0.724031961,9.1395,1316.098572,17454,3565,2267,1052,199,237,121
150103,599196,737,18.59089676,17.59217974,18.46735535,5.037591391,-38.60947126,0.998717018,LIMA,LIMA,ATE,1,0.9523809523809523,1439.6320015667904,866.6446371471108,0.007408296144358686,0.004582473682911095,0.12813158055512686,0,0.01986846588846151,1.0436381615566546,0.2042182783377156,0.35935236632294004,LIMA,LIMA,ATE,0.700430248,0.17174936,81.02624099,0.766107408,9.8385,1412.473337,164985,26278,11306,12354,2071,2374,1121
150104,34378,16,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,LIMA,LIMA,BARRANCO,0.9761904761904762,0.7857142857142857,484.05829779758534,1325.8479259991857,0.016665728865190008,0.0041402100434313974,0.03341158192020437,0.02264808362369338,0.019259619499741754,1.0426350504770157,0.08102334981196864,0.6555865975164874,LIMA,LIMA,BARRANCO,0.801234733,0.03172325,81.6758793,0.786570743,12.3323,1792.368661,11477,357,38,271,0,57,9
150105,85309,58,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,LIMA,LIMA,BRENA,0.9761904761904762,0.8571428571428571,1308.260314499175,1503.123937685356,0.0030935683577000906,0.004391190935858619,0.06982717637393403,0,0.0362826706426502,1.0426350504770145,0.22722409948931077,0.7199704495855179,LIMA,LIMA,BRENA,0.785999689,0.04041467,81.40812591,0.792611895,11.7399,1744.292935,25494,1336,131,1045,0,169,28
150106,333045,339,17.31772301,16.18771322,17.17285703,6.348570452,-33.95832735,1.130009793,LIMA,LIMA,CARABAYLLO,0.9047619047619048,0.9523809523809523,108.02796966701119,1097.8696572535243,0.027315757402488382,0.004467310244349905,0.12075101754468769,0.18234610917537747,0.004732392297286286,1.039544652632377,0.010706793130506001,0.2748427666772174,LIMA,LIMA,CARABAYLLO,0.662879143,0.19176021,79.77456893,0.744076833,9.4495,1277.25578,86847,15786,7864,6681,1230,1229,675
150107,42912,56,18.37823648,17.31085167,18.26217497,5.326982465,-41.05966028,1.067384814,LIMA,LIMA,CHACLACAYO,0.8809523809523809,0.8809523809523809,134.96886870106803,1295.6748695003723,0.027149794594347056,0.004331836506653478,0.06601498319420049,0.036585365853658534,0.005203827803831855,1.0385259719468254,0.013942738466444353,0.4160047847115838,LIMA,LIMA,CHACLACAYO,0.727064248,0.09712625,82.76369048,0.780766852,10.765,1436.651195,11233,1006,150,590,130,123,76
150108,314241,301,19.71691008,19.01482209,19.59727804,4.542611092,-31.21927715,0.702087989,LIMA,LIMA,CHORRILLOS,1,0.9761904761904762,1496.368315424348,966.2011004292883,0.008237973952601594,0.0046284600438169805,0.1354001700404498,0,0.033112917480570395,1.0436381615566543,0.25265734987529964,0.4257104835147726,LIMA,LIMA,CHORRILLOS,0.738221736,0.1160839,81.1497121,0.770687263,10.6115,1567.361684,82969,8777,3076,4752,283,965,369
150109,34684,20,18.89342791,17.90858168,18.77285872,5.533596597,-41.02238693,0.984846232,LIMA,LIMA,CIENEGUILLA,0.8095238095238095,0.8809523809523809,52.24247262840648,1388.8248183600506,0.035274507483207915,0.004251784731672463,0.09953175597748938,0.10336817653890824,0.004217852911426356,1.0353814066678022,0.007630780960164239,0.5168667555239616,LIMA,LIMA,CIENEGUILLA,0.650977805,0.17529394,78.00235269,0.699186992,9.1529,1314.35109,9623,2206,1335,774,219,116,62
150110,520450,570,18.05228841,17.09278221,17.89923449,4.880337238,-30.56565495,0.959506204,LIMA,LIMA,COMAS,0.9523809523809523,0.9047619047619048,625.8302977493482,888.9230473628588,0.01576228312065379,0.004491393208494326,0.10652237861042109,0.003484320557491289,0.010502638788715256,1.0415986939926125,0.06147987679757633,0.3003308440473224,LIMA,LIMA,COMAS,0.7081597,0.16044523,81.63203158,0.782665066,10.0771,1408.146118,132726,17192,5943,9080,1171,1934,954
150111,198862,326,18.65244274,17.7242335,18.51954191,4.639691935,-34.72989458,0.928209242,LIMA,LIMA,EL AGUSTINO,0.9761904761904762,0.9523809523809523,282.08102954698137,1362.8043567901357,0.013301657152212905,0.004475084452263451,0.11325267212901576,0.025551684088269456,0.008697293221302103,1.0426350504770148,0.039679830389669955,0.5360459903229567,LIMA,LIMA,EL AGUSTINO,0.70122061,0.16689837,84.18354012,0.738624843,9.6693,1381.776152,51766,5766,871,4058,38,800,367
