origin,destination,cases
010101,010101,21753
010101,010102,2
010101,010103,2
010101,010104,20
010101,010105,7
010101,010106,4
010101,010107,6
010101,010108,46
010101,010109,66
010101,010110,24
010101,010111,51
010101,010112,13
010101,010113,9
010101,010114,22
010101,010115,5
010101,010116,7
010101,010117,7
010101,010118,19
010101,010119,6
010101,010120,28
010101,010121,1
010101,010201,28
010101,010202,1
010101,010203,1
010101,010205,5
010101,010301,14
010101,010303,2
010101,010304,1
010101,010305,4
010101,010306,20
010101,010307,69
010101,010309,1
010101,010310,6
010101,010311,9
010101,010312,26
010101,010401,5
010101,010501,47
010101,010502,1
010101,010503,12
010101,010504,35
010101,010505,23
010101,010506,16
010101,010507,15
010101,010508,13
010101,010509,53
010101,010510,4
010101,010511,8
010101,010512,10
010101,010513,23
010101,010514,42
010101,010515,3
010101,010516,4
010101,010517,7
010101,010518,12
010101,010519,16
010101,010520,4
010101,010521,61
010101,010522,30
010101,010523,9
010101,010601,31
010101,010602,2
010101,010604,3
010101,010605,3
010101,010606,6
010101,010607,2
010101,010609,23
010101,010612,1
010101,010701,49
010101,010702,8
010101,010703,2
010101,010704,1
010101,010705,10
010101,010706,5
010101,020511,1
010101,021801,2
010101,040101,2
010101,060101,7
010101,060112,1
010101,060301,1
010101,060307,1
010101,060310,1
010101,060408,1
010101,060601,1
010101,060801,18
010101,060808,2
010101,060810,1
010101,060907,1
010101,061106,3
010101,070101,2
010101,070104,1
010101,110101,1
010101,130101,38
010101,130106,1
010101,130111,1
010101,130402,1
010101,131001,1
010101,140101,34
010101,140106,1
010101,140301,28
010101,140311,1
010101,150101,27
010101,150105,2
010101,150107,1
010101,150112,1
010101,150113,6
010101,150114,4
010101,150115,1
010101,150120,1
010101,150122,2
010101,150131,1
010101,150135,1
010101,150136,4
010101,150137,1
010101,150140,3
010101,160101,1
010101,160201,2
010101,200101,3
010101,220101,10
010101,220104,2
010101,220301,1
010101,220502,1
010101,220505,1
010101,220601,1
010101,220701,1
010101,220801,1
010101,220802,1
010101,220804,5
010101,220805,1
010101,220901,4
010101,220909,1
010102,010101,11
010102,010102,109
010102,010116,2
010102,010117,1
010102,010301,12
010102,010312,1
010103,010103,717
010103,060101,4
010103,060301,8
010103,060312,1
010103,130304,1
010103,150101,1
010103,150114,1
010104,010101,26
010104,010104,446
010104,010109,1
010104,010114,5
010104,010120,2
010104,010508,1
010104,010609,1
010104,150101,1
010105,010101,21
010105,010105,380
010105,010107,2
010105,010108,2
010105,010205,1
010105,060506,1
010106,010101,4
010106,010106,1061
010106,010109,2
010106,010110,2
010106,060301,1
010106,130305,19
010107,010101,11
010107,010107,301
010107,010114,8
010107,010116,4
010107,010118,5
010108,010101,72
010108,010108,417
010108,220102,2
010109,010101,28
010109,010105,1
010109,010108,1
010109,010109,2851
010109,010113,1
010109,010201,1
010109,010306,1
010109,010519,1
010109,010521,6
010109,010522,2
010109,010602,1
010109,060301,1
010109,060801,2
010109,130101,1
010109,130808,1
010109,140101,1
010110,010101,20
010110,010103,2
010110,010108,1
010110,010109,2
010110,010110,2221
010110,010112,1
010110,010113,2
010110,010115,2
010110,010116,1
010110,010201,1
010110,010311,1
010110,010501,1
010110,010503,1
010110,010513,1
010110,010517,15
010110,010521,3
010110,010522,2
010110,010602,2
010110,010701,1
010110,060101,2
010110,060301,4
010110,060613,1
010110,060806,1
010110,130101,2
010110,130402,1
010110,140112,1
010110,140301,1
010110,150117,1
010110,220901,2
010111,010101,14
010111,010111,506
010111,010112,1
010111,010504,1
010111,010611,1
010112,010101,28
010112,010108,1
010112,010109,7
010112,010110,1
010112,010111,1
010112,010112,444
010112,010113,1
010112,010114,1
010112,010119,6
010112,010504,1
010112,010518,1
010112,010519,1
010112,010521,3
010112,010522,13
010112,220801,1
010113,010101,27
010113,010104,1
010113,010109,14
010113,010110,1
010113,010113,681
010113,010115,8
010113,010201,2
010113,010307,3
010113,010501,2
010113,010504,1
010113,010513,1
010113,010517,2
010113,010519,6
010113,010520,1
010113,010521,8
010113,010522,2
010113,060301,1
010113,060801,1
010113,150117,1
010113,220304,1
010113,220707,1
010113,220709,1
010113,220804,1
010114,010101,60
010114,010104,8
010114,010107,1
010114,010114,1362
010114,010117,1
010114,010118,6
010114,010509,1
010114,010601,7
010114,010602,1
010114,010607,2
010114,010609,3
010114,060101,1
010114,130101,1
010114,140301,1
010115,010101,14
010115,010109,2
010115,010110,2
010115,010113,2
010115,010115,238
010115,010119,1
010115,010517,1
010115,010519,1
010115,130101,1
010116,010101,14
010116,010116,197
010116,010117,2
010116,010118,3
010116,010301,12
010116,010307,2
010116,010605,1
010116,010701,1
010116,060801,1
010117,010101,26
010117,010107,7
010117,010117,424
010118,010101,20
010118,010114,1
010118,010118,138
010118,010120,1
010118,010601,2
010118,010602,1
010119,010101,12
010119,010111,3
010119,010112,4
010119,010114,1
010119,010119,318
010119,010509,1
010119,220804,1
010120,010101,33
010120,010111,2
010120,010114,1
010120,010118,5
010120,010120,716
010120,010307,1
010120,010603,16
010120,010606,1
010120,010609,1
010120,010701,2
010120,220101,1
010121,010101,6
010121,010105,1
010121,010118,5
010121,010120,1
010121,010121,142
010121,010523,1
010121,060308,2
010201,010101,50
010201,010109,1
010201,010112,1
010201,010116,1
010201,010201,16372
010201,010202,166
010201,010203,93
010201,010204,36
010201,010205,122
010201,010206,123
010201,010306,1
010201,010307,3
010201,010401,32
010201,010402,6
010201,010403,4
010201,010501,1
010201,010509,1
010201,010519,1
010201,010521,1
010201,010609,1
010201,010610,1
010201,010701,206
010201,010702,66
010201,010703,20
010201,010704,182
010201,010705,14
010201,010706,17
010201,010707,3
010201,021801,1
010201,021809,1
010201,060101,6
010201,060601,6
010201,060603,1
010201,060604,1
010201,060607,1
010201,060612,1
010201,060613,1
010201,060701,3
010201,060801,175
010201,060802,2
010201,060805,7
010201,060807,1
010201,060808,3
010201,060810,1
010201,060812,14
010201,060901,13
010201,060902,3
010201,060903,2
010201,060904,2
010201,060906,2
010201,060907,1
010201,061004,1
010201,130101,17
010201,130104,1
010201,130201,1
010201,130302,1
010201,130401,1
010201,130402,1
010201,130702,1
010201,140101,65
010201,140105,4
010201,140106,1
010201,140112,3
010201,140301,9
010201,150101,13
010201,150103,1
010201,150114,1
010201,150117,1
010201,150131,1
010201,150132,1
010201,150136,1
010201,150137,1
010201,150140,1
010201,160201,1
010201,160701,1
010201,160703,2
010201,160704,1
010201,220101,2
010201,220303,2
010201,220602,1
010201,220604,1
010201,220801,2
010201,220804,3
010201,220805,2
010201,220901,4
010201,220910,1
010201,240101,1
010202,010101,3
010202,010201,65
010202,010202,5832
010202,010203,1
010202,010205,18
010202,010206,1
010202,010521,1
010202,010609,2
010202,010701,5
010202,010706,1
010202,060612,2
010202,060801,24
010202,060807,1
010202,060812,10
010202,130101,1
010202,130107,2
010202,140101,2
010202,150101,1
010202,150121,1
010202,220101,1
010202,220710,1
010202,220901,2
010202,221003,1
010203,010101,6
010203,010112,1
010203,010201,164
010203,010202,5
010203,010203,2464
010203,010205,3
010203,010206,13
010203,010701,24
010203,010702,41
010203,010703,1
010203,010704,1
010203,060603,1
010203,060703,1
010203,060801,13
010203,060811,1
010203,060812,2
010203,060902,1
010203,140101,2
010203,140112,1
010203,140301,1
010203,150118,1
010203,220910,1
010203,221001,1
010204,010101,5
010204,010201,91
010204,010202,1
010204,010203,3
010204,010204,551
010204,010205,3
010204,010206,17
010204,010701,4
010204,010702,2
010204,010705,2
010204,060801,2
010204,140101,2
010205,010101,8
010205,010110,1
010205,010201,47
010205,010202,10
010205,010205,14453
010205,010206,3
010205,010401,21
010205,010402,6
010205,010403,1
010205,010503,1
010205,010509,1
010205,010701,10
010205,010702,1
010205,010706,3
010205,060101,5
010205,060411,1
010205,060801,80
010205,060802,1
010205,060901,2
010205,060906,1
010205,100601,1
010205,120101,1
010205,130101,2
010205,130908,1
010205,140101,5
010205,140106,1
010205,140112,1
010205,140119,1
010205,140120,1
010205,140301,4
010205,150101,2
010205,150105,1
010205,150118,1
010205,150122,1
010205,150130,2
010205,150801,1
010205,160703,1
010205,200601,1
010205,220101,1
010205,220804,1
010205,220901,1
010205,250105,5
010205,250204,1
010206,010101,7
010206,010201,142
010206,010202,6
010206,010203,13
010206,010204,14
010206,010205,8
010206,010206,3599
010206,010401,5
010206,010701,17
010206,010702,2
010206,010703,1
010206,010704,6
010206,010705,1
010206,010706,1
010206,060101,1
010206,060801,7
010206,060903,1
010206,130101,2
010206,140101,1
010206,140105,1
010206,140112,1
010206,150101,3
010206,220801,2
010206,220901,2
010301,010101,14
010301,010102,3
010301,010110,1
010301,010301,827
010301,010302,11
010301,010304,13
010301,010305,1
010301,010306,22
010301,010307,4
010301,010308,13
010301,010309,1
010301,010312,6
010301,010502,1
010301,010701,1
010301,060812,1
010301,140101,4
010301,150101,2
010301,160703,1
010301,220101,1
010301,220901,2
010302,010101,2
010302,010116,1
010302,010301,43
010302,010302,163
010302,010308,2
010302,010312,1
010302,150117,1
010302,220101,1
010302,220805,1
010303,010101,8
010303,010303,117
010303,010306,2
010303,010307,23
010303,010311,1
010303,010312,2
010303,010504,1
010303,010509,1
010303,010518,1
010303,010609,1
010303,160201,1
010304,010101,6
010304,010102,1
010304,010301,3
010304,010302,2
010304,010304,557
010304,010312,2
010304,220101,1
010305,010101,2
010305,010305,380
010305,010307,57
010305,010707,1
010305,130101,1
010306,010101,30
010306,010201,1
010306,010301,8
010306,010304,3
010306,010305,3
010306,010306,3513
010306,010307,42
010306,010310,13
010306,010312,36
010306,010509,2
010306,010514,1
010306,010518,1
010306,010521,2
010306,010610,1
010306,010701,5
010306,010702,2
010306,060401,1
010306,060602,1
010306,140101,2
010306,140112,2
010306,150101,1
010306,150121,1
010306,220101,3
010306,220104,1
010306,220401,1
010306,220601,1
010306,220801,2
010306,220804,5
010306,220805,1
010306,220901,6
010307,010101,117
010307,010103,1
010307,010109,1
010307,010110,5
010307,010111,1
010307,010116,3
010307,010201,6
010307,010203,1
010307,010205,1
010307,010301,23
010307,010302,1
010307,010303,11
010307,010304,5
010307,010305,50
010307,010306,50
010307,010307,4594
010307,010309,20
010307,010310,48
010307,010311,13
010307,010312,30
010307,010401,1
010307,010501,1
010307,010502,1
010307,010503,1
010307,010504,1
010307,010509,5
010307,010510,1
010307,010511,1
010307,010514,1
010307,010516,2
010307,010518,12
010307,010520,5
010307,010521,3
010307,010601,1
010307,010701,20
010307,010702,2
010307,010705,14
010307,010706,1
010307,060408,1
010307,060801,11
010307,060902,1
010307,061106,1
010307,130101,4
010307,130111,1
010307,130801,1
010307,131001,1
010307,140101,4
010307,140301,2
010307,150117,1
010307,150121,1
010307,220101,4
010307,220102,1
010307,220103,1
010307,220801,2
010307,220805,2
010307,220901,3
010308,010102,1
010308,010116,2
010308,010301,27
010308,010308,92
010309,010101,9
010309,010108,1
010309,010110,1
010309,010116,1
010309,010301,3
010309,010307,32
010309,010309,277
010309,010310,1
010309,010312,2
010309,010521,2
010310,010101,19
010310,010108,1
010310,010120,1
010310,010301,6
010310,010305,1
010310,010306,20
010310,010307,105
010310,010310,872
010310,010311,1
010310,010312,3
010310,010509,1
010310,010519,1
010310,010609,1
010310,010701,4
010310,060612,1
010310,060801,1
010310,150101,1
010311,010101,36
010311,010110,1
010311,010306,2
010311,010307,52
010311,010311,468
010311,010501,1
010311,010701,1
010311,060801,1
010311,061201,1
010312,010101,9
010312,010109,1
010312,010301,2
010312,010302,1
010312,010305,1
010312,010306,21
010312,010307,10
010312,010312,3489
010312,010502,1
010312,010701,2
010312,010707,1
010312,060101,2
010312,060401,1
010312,060608,1
010312,060701,1
010312,061106,1
010312,140101,1
010312,140112,1
010312,150121,1
010312,200101,1
010312,220101,5
010312,220104,1
010312,220106,1
010312,220801,1
010312,220804,9
010312,220805,6
010312,220807,1
010312,220910,1
010401,010101,5
010401,010201,18
010401,010205,20
010401,010401,10416
010401,010402,12
010401,010403,17
010401,010521,1
010401,010701,2
010401,010704,1
010401,060101,1
010401,060401,2
010401,060601,2
010401,060801,74
010401,130101,4
010401,130107,1
010401,140101,11
010401,140301,4
010401,150101,3
010401,150114,1
010401,150117,2
010401,150137,1
010401,150140,1
010401,200101,2
010401,220804,1
010401,220901,1
010402,010101,3
010402,010201,7
010402,010205,14
010402,010401,18
010402,010402,4898
010402,010403,1
010402,040103,1
010402,060101,2
010402,060801,37
010402,140119,1
010402,150204,1
010402,160703,1
010402,200101,1
010402,220901,3
010402,240101,1
010403,010101,2
010403,010201,3
010403,010205,6
010403,010401,62
010403,010403,6882
010403,010701,2
010403,060101,3
010403,060801,39
010403,060803,1
010403,130101,1
010403,140101,1
010403,140301,1
010403,150101,2
010403,200101,2
010403,250101,1
010501,010101,51
010501,010109,2
010501,010110,1
010501,010111,1
010501,010114,2
010501,010201,2
010501,010307,3
010501,010501,1256
010501,010503,4
010501,010505,7
010501,010506,1
010501,010509,34
010501,010510,3
010501,010513,3
010501,010514,1
010501,010516,9
010501,010518,1
010501,010520,3
010501,010523,11
010501,010601,2
010501,010701,2
010501,130101,2
010501,140101,5
010501,150101,3
010501,220804,1
010502,010101,11
010502,010201,1
010502,010501,1
010502,010502,4061
010502,010509,3
010502,010512,13
010502,010513,2
010502,010701,5
010502,010706,27
010502,060101,2
010502,060801,8
010502,130101,1
010502,150101,1
010502,150114,1
010503,010101,9
010503,010103,1
010503,010109,1
010503,010503,1061
010503,010511,2
010504,010101,30
010504,010108,1
010504,010111,1
010504,010501,1
010504,010503,1
010504,010504,1005
010504,010506,5
010504,010508,3
010504,010513,2
010504,010514,2
010504,010522,10
010504,010701,1
010504,140301,1
010505,010101,12
010505,010301,1
010505,010501,9
010505,010503,2
010505,010505,1099
010505,010509,28
010505,010512,1
010505,010514,1
010505,010516,1
010505,010520,2
010505,010523,1
010505,010612,1
010505,010705,5
010506,010101,9
010506,010112,1
010506,010119,1
010506,010504,1
010506,010506,236
010506,010508,4
010506,010522,2
010506,010701,1
010506,220901,1
010507,010101,10
010507,010507,516
010507,010511,26
010507,010514,1
010507,010522,1
010507,010701,1
010508,010101,17
010508,010201,1
010508,010501,3
010508,010505,3
010508,010506,4
010508,010508,437
010508,010509,16
010508,010512,2
010508,010513,7
010508,010523,1
010509,010101,73
010509,010110,2
010509,010201,1
010509,010307,3
010509,010312,1
010509,010501,81
010509,010505,16
010509,010508,6
010509,010509,2224
010509,010510,3
010509,010512,2
010509,010513,1
010509,010515,2
010509,010516,3
010509,010518,2
010509,010520,7
010509,010521,2
010509,010522,2
010509,010523,37
010509,010601,3
010509,010701,2
010509,060801,1
010509,140101,2
010509,150140,1
010509,220804,1
010510,010101,11
010510,010307,1
010510,010501,1
010510,010509,3
010510,010510,187
010510,010520,1
010510,010523,30
010511,010101,7
010511,010503,2
010511,010504,1
010511,010507,4
010511,010511,451
010511,010521,1
010511,010522,9
010511,220801,1
010512,010101,7
010512,010113,1
010512,010501,2
010512,010502,4
010512,010508,1
010512,010509,2
010512,010512,2074
010512,010513,33
010512,010515,4
010512,010518,1
010512,010706,2
010512,060801,4
010513,010101,16
010513,010502,1
010513,010504,6
010513,010505,1
010513,010507,1
010513,010508,1
010513,010509,1
010513,010512,7
010513,010513,2125
010513,010515,1
010513,010521,1
010513,060801,2
010513,140301,1
010514,010101,20
010514,010507,2
010514,010512,3
010514,010513,3
010514,010514,3021
010514,010515,13
010514,010522,1
010514,060301,4
010514,060302,1
010514,060303,1
010515,010101,1
010515,010509,2
010515,010512,22
010515,010513,2
010515,010515,890
010515,010701,2
010515,060801,1
010515,140101,1
010516,010101,1
010516,010110,1
010516,010116,1
010516,010303,1
010516,010501,16
010516,010504,1
010516,010509,3
010516,010516,244
010516,010520,1
010517,010101,3
010517,010110,8
010517,010113,1
010517,010115,1
010517,010517,352
010517,010521,1
010517,010701,1
010517,060301,1
010517,060303,1
010517,060304,1
010517,060307,1
010518,010101,3
010518,010307,12
010518,010501,1
010518,010509,2
010518,010512,1
010518,010516,2
010518,010518,337
010518,010520,2
010518,010701,2
010519,010101,6
010519,010109,1
010519,010519,239
010519,010521,2
010520,010101,7
