department,province,district,ubigeo,population,population_permanent
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,32589,30470
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,262,250
AMAZONAS,CHACHAPOYAS,BALSAS,010103,1136,1110
AMAZONAS,CHACHAPOYAS,CHETO,010104,642,610
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,585,571
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,1781,1728
AMAZONAS,CHACHAPOYAS,GRANADA,010107,480,471
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,1258,1134
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,3978,3885
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,3620,3406
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,794,703
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,852,796
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,1367,1200
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,2176,2109
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,496,453
AMAZONAS,CHACHAPOYAS,OLLEROS,010116,375,341
AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,769,755
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,295,246
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,580,552
AMAZONAS,CHACHAPOYAS,SOLOCO,010120,1224,1192
AMAZONAS,CHACHAPOYAS,SONCHE,010121,247,224
AMAZONAS,BAGUA,BAGUA,010201,27102,25959
AMAZONAS,BAGUA,ARAMANGO,010202,9765,9591
AMAZONAS,BAGUA,COPALLIN,010203,4595,4511
AMAZONAS,BAGUA,EL PARCO,010204,1216,1199
AMAZONAS,BAGUA,IMAZA,010205,25162,24773
AMAZONAS,BAGUA,LA PECA,010206,6260,6034
AMAZONAS,BONGARA,JUMBILLA,010301,1337,1291
AMAZONAS,BONGARA,CHISQUILLA,010302,306,299
AMAZONAS,BONGARA,CHURUJA,010303,287,247
AMAZONAS,BONGARA,COROSHA,010304,772,750
AMAZONAS,BONGARA,CUISPES,010305,669,630
AMAZONAS,BONGARA,FLORIDA,010306,5999,5617
AMAZONAS,BONGARA,JAZAN,010307,7580,7032
AMAZONAS,BONGARA,RECTA,010308,208,183
AMAZONAS,BONGARA,SAN CARLOS,010309,489,472
AMAZONAS,BONGARA,SHIPASBAMBA,010310,1539,1488
AMAZONAS,BONGARA,VALERA,010311,874,857
AMAZONAS,BONGARA,YAMBRASBAMBA,010312,5577,5453
AMAZONAS,CONDORCANQUI,NIEVA,010401,18626,18319
AMAZONAS,CONDORCANQUI,EL CENEPA,010402,9891,9832
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403,13953,13877
AMAZONAS,LUYA,LAMUD,010501,2227,2122
AMAZONAS,LUYA,CAMPORREDONDO,010502,6473,6376
AMAZONAS,LUYA,COCABAMBA,010503,1881,1840
AMAZONAS,LUYA,COLCAMAR,010504,1853,1787
AMAZONAS,LUYA,CONILA,010505,1840,1807
AMAZONAS,LUYA,INGUILPATA,010506,498,472
AMAZONAS,LUYA,LONGUITA,010507,839,821
AMAZONAS,LUYA,LONYA CHICO,010508,842,797
AMAZONAS,LUYA,LUYA,010509,3959,3768
AMAZONAS,LUYA,LUYA VIEJO,010510,388,373
AMAZONAS,LUYA,MARIA,010511,744,722
AMAZONAS,LUYA,OCALLI,010512,3556,3452
AMAZONAS,LUYA,OCUMAL,010513,3446,3365
AMAZONAS,LUYA,PISUQUIA,010514,4768,4709
AMAZONAS,LUYA,PROVIDENCIA,010515,1316,1292
AMAZONAS,LUYA,SAN CRISTOBAL,010516,546,526
