ubigeo,no2
010101,4.4983333333333334e-05
010102,4.153333333333333e-5
010103,4.495833333333333e-5
010104,4.2741666666666664e-5
010105,4.078333333333333e-5
010106,4.355833333333333e-5
010107,4.093333333333333e-5
010108,4.4733333333333334e-5
010109,4.3425e-5
010110,4.2875e-5
010111,4.3033333333333334e-5
010112,4.4758333333333335e-5
010113,4.3066666666666665e-5
010114,4.133333333333333e-5
010115,4.165e-5
010116,4.0725e-5
010117,4.17e-5
010118,4.3366666666666666e-5
010119,4.2558333333333336e-5
010120,4.2475e-5
010121,4.44e-5
010201,4.8666666666666666e-5
010202,4.56e-5
010203,4.385833333333333e-5
010204,4.815e-5
010205,4.549166666666667e-5
010206,4.630833333333333e-5
010301,4.1733333333333336e-5
010302,4.126666666666667e-5
010303,4.24e-5
010304,4.1641666666666665e-5
010305,4.314166666666667e-5
010306,4.225e-5
010307,4.45e-5
010308,4.1441666666666667e-5
010309,4.183333333333333e-5
010310,4.158333333333333e-5
010311,4.205e-5
010312,4.295e-5
010401,4.64e-5
010402,4.465e-5
010403,4.591666666666667e-5
010501,4.3349999999999997e-05
010502,4.3933333333333335e-5
010503,4.400833333333334e-5
010504,4.291666666666667e-5
010505,4.233333333333334e-5
010506,4.23e-5
010507,4.2075e-5
010508,4.3625e-5
010509,4.3941666666666666e-5
010510,4.2308333333333336e-5
010511,4.195e-5
010512,4.26e-5
010513,4.463333333333333e-5
010514,4.3375e-5
010515,4.7258333333333335e-5
010516,4.156666666666667e-5
010517,4.41e-5
010518,4.2583333333333336e-5
010519,4.321666666666667e-5
010520,4.181666666666667e-5
010521,4.1441666666666667e-5
010522,4.3908333333333334e-5
010523,4.4275e-5
010601,4.101666666666667e-5
010602,4.4025e-5
010603,4.18e-5
010604,4.2725e-5
010605,4.2516666666666666e-5
010606,4.1725e-5
010607,4.179166666666667e-5
010608,4.459166666666667e-5
010609,4.260833333333333e-5
010610,4.3641666666666666e-5
010611,4.460833333333333e-5
010612,4.1991666666666666e-5
010701,4.709166666666667e-5
010702,4.205833333333333e-5
010703,4.775833333333333e-5
010704,4.791666666666667e-5
010705,4.425e-5
010706,4.3683333333333336e-5
010707,4.37e-5
020101,5.1475000000000004e-5
020102,4.988333333333333e-5
020103,5.415e-5
020104,5.205e-5
020105,4.7566666666666666e-5
020106,5.1141666666666665e-5
020107,5.2e-5
020108,5.27e-5
020109,5.468333333333333e-5
020110,4.96e-5
020111,4.994166666666667e-5
020112,4.796666666666667e-5
020201,5.3591666666666664e-5
020202,5.300833333333333e-5
020203,5.385e-5
020204,5.1575e-5
020205,5.4575e-5
020301,4.773333333333333e-5
020302,4.7783333333333334e-5
020303,4.8341666666666665e-5
020304,4.718333333333333e-5
020305,4.876666666666667e-5
020306,4.705833333333333e-5
020401,4.785e-5
020402,4.849166666666667e-5
020501,5.18e-5
020502,5.4216666666666665e-5
020503,5.658333333333333e-5
020504,5.2175e-5
020505,5.264166666666667e-5
020506,5.328333333333333e-5
020507,5.755e-5
020508,4.9525e-5
020509,5.025e-5
020510,5.294166666666667e-5
020511,5.3933333333333334e-5
020512,5.2175e-5
020513,5.175e-5
020514,5.190833333333333e-5
020515,5.209166666666667e-5
