ubigeo,so2
010101,1.53565309175e-4
010102,8.16e-5
010103,2.663083333333333e-4
010104,1.5836796438333333e-4
010105,6.574158501666667e-5
010106,2.4604166666666665e-4
010107,9.700987551141667e-5
010108,2.0126666666666666e-4
010109,9.269166666666667e-5
010110,1.7864933744166667e-4
010111,1.7605e-4
010112,1.01425e-4
010113,1.2440833333333333e-4
010114,1.6015833333333333e-4
010115,1.055e-4
010116,8.885e-5
010117,1.395e-4
010118,2.2952695455e-4
010119,1.7986666666666668e-4
010120,1.9943333333333335e-4
010121,2.0288333333333332e-4
010201,2.8355e-4
010202,2.2045e-4
010203,2.126224192e-4
010204,2.656566274083333e-4
010205,2.3385138940833333e-4
010206,1.9684166666666668e-4
010301,1.13275e-4
010302,7.164369520833333e-5
010303,1.5640833333333334e-4
010304,8.495833333333334e-5
010305,1.1061300521666666e-4
010306,1.6010833333333333e-4
010307,1.0863333333333334e-4
010308,1.1855776845e-4
010309,1.4305e-4
010310,1.1629166666666667e-4
010311,1.543e-4
010312,1.4028902674166667e-4
010401,2.2860833333333334e-4
010402,1.8349166666666668e-4
010403,2.1505833333333333e-4
010501,1.7394234085833332e-4
010502,2.2155833333333333e-4
010503,2.59675e-4
010504,1.529e-4
010505,9.259024643e-5
010506,1.6421666666666666e-4
010507,2.48925e-4
010508,1.692e-4
010509,1.7771666666666666e-4
010510,1.28209005875e-4
010511,1.9275400053333334e-4
010512,1.8925833333333333e-4
010513,1.8740833333333334e-4
010514,1.9074091813333334e-4
010515,2.777333333333333e-4
010516,1.3246666666666667e-4
010517,2.1126666666666666e-4
010518,1.1715e-4
010519,1.8262499999999998e-4
010520,1.2362206635416667e-4
010521,1.9527473005833334e-4
010522,2.0059166666666666e-4
010523,1.786e-4
010601,1.8389166666666666e-4
010602,2.2375e-4
010603,1.6165e-4
010604,2.6928333333333336e-4
010605,1.9445e-4
010606,2.0503333333333332e-4
010607,1.5218333333333334e-4
010608,1.77525e-4
010609,1.9435833333333335e-4
010610,2.1125833333333335e-4
010611,1.9483443833333335e-4
010612,1.5824166666666666e-4
010701,2.4760833333333334e-4
010702,1.2389042459166666e-4
010703,2.704e-4
010704,3.965416666666667e-4
010705,1.2859166666666667e-4
010706,2.02225e-4
010707,1.9496666666666667e-4
020101,4.58225e-4
020102,3.8173333333333336e-4
020103,4.03325e-4
020104,4.1425833333333335e-4
020105,3.981666666666667e-4
020106,4.46125e-4
020107,3.930916666666667e-4
020108,4.298416666666667e-4
020109,4.668333333333333e-4
020110,4.173583333333333e-4
020111,4.4525e-4
020112,3.620333333333333e-4
020201,5.7255e-4
020202,5.109166666666667e-4
020203,5.68675e-4
020204,4.3455e-4
020205,5.983583333333334e-4
020301,3.904e-4
020302,3.9738333333333333e-4
020303,3.5e-4
020304,5.088833333333333e-4
020305,3.923e-4
020306,3.6481666666666665e-4
020401,3.24925e-4
020402,4.6932500000000004e-4
020501,5.68075e-4
020502,5.817416666666666e-4
020503,6.341916666666666e-4
020504,3.8163333333333336e-4
020505,5.653499999999999e-4
020506,5.54175e-4
020507,6.946583333333333e-4
020508,4.10475e-4
020509,5.979916666666666e-4
020510,5.763096628166667e-4
020511,5.962833333333333e-4
020512,5.280666666666666e-4
020513,4.552583333333333e-4
020514,5.338750000000001e-4
020515,7.116083333333333e-4
020601,4.862e-4
