ubigeo,urban_area
010101,39.50349
010102,0
010103,0
010104,0
010105,0
010106,0
010107,0
010108,0
010109,0
010110,0
010111,0
010112,0
010113,0
010114,0
010115,0
010116,0
010117,0
010118,0
010119,0
010120,0
010121,0
010201,51.4093733
010202,9.8898062
010203,9.8857025
010204,0
010205,0
010206,19.7736394
010301,5.7740279
010302,0
010303,0
010304,0
010305,0
010306,0
010307,0
010308,0.0775037
010309,0
010310,9.8815694
010311,0
010312,0
010401,0
010402,0
010403,9.9091631
010501,8.6380482
010502,0
010503,0
010504,0
010505,0
010506,0
010507,0
010508,0
010509,0
010510,0
010511,0
010512,0
010513,0
010514,0
010515,0
010516,0
010517,0
010518,0
010519,0
010520,0
010521,0
010522,0
010523,0
010601,6.0786425
010602,0
010603,0
010604,0
010605,0
010606,0.2710223
010607,27.9154633
010608,0
010609,0
010610,0
010611,0
010612,0
010701,52.483869
010702,30.505925
010703,19.1817303
010704,61.720834
010705,0
010706,9.8783962
010707,0
020101,58.527446
020102,0
020103,0.9990785
020104,0
020105,57.5699313
020106,9.8031537
020107,0
020108,0
020109,3.8810357
020110,11.0667155
020111,0
020112,0
020201,0
020202,0
020203,0
020204,0
020205,0
020301,0
020302,0
020303,0
020304,0
020305,0
020306,0
020401,0
020402,0
020501,20.1000791
020502,9.7769231
020503,0
020504,0
020505,0
020506,0
020507,0
020508,0
020509,2.5702533
020510,0
020511,0
020512,0
020513,9.7790881
020514,0
020515,0
020601,29.4195556
020602,0
020603,0
020604,42.486614
020605,0
020606,4.0373046
020607,4.0370853
020608,0
020609,0
020610,0
020611,0
020701,0
020702,0
020703,0
020801,39.4736103
020802,19.1038694
020803,37.0914003
020804,39.2001487
020901,0
020902,0
020903,0
020904,0
020905,0
020906,0
020907,0
021001,0
021002,0
021003,0
021004,0
021005,0
021006,0
021007,0
021008,0
021009,0
021010,0
021011,0
021012,0
021013,0
021014,0
021015,0
021016,0
021101,94.4639687
021102,0
021103,0
021104,1.5736078
021105,0
021201,19.6252813
021202,0
021203,0
021204,0
021205,0
021206,0
021207,0
021208,9.8157231
021209,0
021210,0
021301,0
021302,0
021303,0
021304,0
021305,0
021306,0
021307,0
021308,0
021401,0
021402,0
021403,0
021404,0
021405,44.96285
021406,0
021407,0.4216438
021408,9.7744694
021409,0
021410,0
021501,9.829435
021502,0
021503,0
021504,0
021505,9.83098
021506,0
021507,0
021508,0
021509,0
021510,9.8260869
021511,0
021601,0
021602,0
021603,0
021604,0
021701,0
021702,0
021703,9.7862844
021704,0
021705,0
021706,9.7836387
021707,0
021708,0
021709,0
021710,0
021801,629.1951611
021802,9.8135931
021803,44.486728
021804,0
021805,29.4295194
021806,0
021807,0
021808,133.4704025
021809,295.5184229
021901,0
021902,0
021903,0
021904,0
021905,0
021906,0
021907,0
021908,0
021909,0
021910,0
022001,9.8102419
022002,0
022003,0
022004,0
022005,9.8051287
022006,0
022007,0
022008,0
030101,102.7012963
030102,0
030103,0
030104,0
030105,9.6657675
030106,0
030107,9.6568312
030108,9.6647025
030109,13.0704491
030201,44.0159649
030202,0
030203,0
030204,19.3212025
030205,0
030206,0
030207,0
030208,9.6664756
030209,21.481506
030210,0
030211,0
030212,0
030213,18.5993382
030214,0
030215,0
030216,19.3194131
030217,0
030218,9.6543031
030219,0
030220,0
030301,9.6306606
030302,0
030303,0
030304,0
030305,0
030306,0
030307,0
030401,0
030402,0
030403,0
030404,0
030405,0
030406,0
030407,0
030408,0
030409,0
