ubigeo,department,province,district,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,0.605711277,0.09034625,73.29754386,0.746995778,9.7582,1086.762736,8359,832,247,405,113,64,106
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,0.421303484,0.36519949,72.34906658,0.666666667,5.8662,569.6103176,104,74,74,9,0,1,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,0.294232045,0.45732962,68.71056764,0.307692308,4.9866,362.9999036,355,104,10,47,44,3,16
010104,AMAZONAS,CHACHAPOYAS,CHETO,0.329548958,0.39169782,83.89632589,0.490196078,4.2735,342.5693794,220,66,55,3,26,2,2
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,0.264602301,0.53045662,77.26108878,0.346153846,3.304,308.8143746,206,120,86,19,52,5,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,0.248890615,0.51607832,66.22462272,0.285714286,5.6499,233.742394,544,165,86,36,43,7,19
010107,AMAZONAS,CHACHAPOYAS,GRANADA,0.344243848,0.43865957,65.21454048,0.24137931,4.1008,793.644551,156,67,60,4,4,0,3
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,0.417402027,0.31977312,75.93648116,0.613636364,5.9463,533.8398763,123,23,3,7,17,0,2
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,0.30315433,0.47947723,77.40612285,0.400552486,4.1929,337.6423149,1104,365,193,135,63,13,32
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,0.390026779,0.25741684,70.65798456,0.375451264,6.194,598.8610248,1101,239,88,116,22,15,44
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,0.328212667,0.41081444,83.10007358,0.372093023,3.7781,430.3227356,252,67,38,28,14,1,5
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0.44214476,0.30634088,73.31931417,0.5,6.1648,709.8664781,317,62,16,21,31,3,7
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,0.452047433,0.39230882,68.86861128,0.471910112,6.6932,807.2970161,406,64,9,33,15,2,12
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,0.360661043,0.35654304,71.98848322,0.503597122,5.0068,472.8658407,701,259,209,20,80,18,10
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,0.430559209,0.38644489,72.13336221,0.4,7.1372,680.9454412,164,21,1,13,0,0,8
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,0.38033464,0.479082,76.8827677,0.5,5.4701,471.2775891,148,124,123,8,6,0,2
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,0.35698134,0.47119202,79.46075272,0.488888889,3.2533,587.3095226,295,243,195,26,145,7,5
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0.466702104,0.29704094,73.24783387,0.52173913,7.4503,718.8980172,102,26,12,1,14,2,1
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,0.269976168,0.43370115,69.87280566,0.358974359,4.3358,291.1628783,187,50,32,15,2,3,5
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,0.344826143,0.41062364,79.12544489,0.340909091,4.3878,484.4969768,407,118,101,12,31,2,8
010121,AMAZONAS,CHACHAPOYAS,SONCHE,0.358204715,0.55850202,80.33983316,0.32,4.1184,572.40193,86,53,48,9,16,2,2
010201,AMAZONAS,BAGUA,BAGUA,0.567283346,0.16212835,74.87830898,0.683377309,8.677,975.9595117,7489,1447,415,901,56,108,167
010202,AMAZONAS,BAGUA,ARAMANGO,0.340291272,0.38525807,77.31456842,0.362424242,4.5165,458.0859993,2878,1598,1200,618,262,109,126
010203,AMAZONAS,BAGUA,COPALLIN,0.466618002,0.24530258,78.85637936,0.507462687,5.042,854.6927622,1470,567,324,291,31,17,51
010204,AMAZONAS,BAGUA,EL PARCO,0.46399637,0.35249588,78.25812073,0.677777778,5.5083,694.3851539,388,206,130,104,6,8,16
010205,AMAZONAS,BAGUA,IMAZA,0.306399751,0.5394969,77.98579896,0.302092415,5.6318,316.2203572,6284,5352,4975,2012,737,451,380
010206,AMAZONAS,BAGUA,LA PECA,0.447117561,0.34761666,73.00719609,0.468220339,5.6735,805.5383711,1965,679,309,425,27,23,46
010301,AMAZONAS,BONGARA,JUMBILLA,0.449179437,0.29547678,69.70559424,0.393258427,7.3614,798.9747209,442,72,60,18,12,3,5
010302,AMAZONAS,BONGARA,CHISQUILLA,0.479139927,0.4224183,72.73011654,0.722222222,5.1569,859.9019191,115,66,60,5,5,0,2
010303,AMAZONAS,BONGARA,CHURUJA,0.479957704,0.2078695,59.59985189,0.75,7.4111,903.1452055,89,31,9,9,19,0,1
010304,AMAZONAS,BONGARA,COROSHA,0.419735347,0.54796368,78.98063663,0.389830508,4.7013,752.9046112,233,190,185,28,11,0,4
010305,AMAZONAS,BONGARA,CUISPES,0.247395211,0.45831589,66.17094632,0.348837209,4.8165,234.8169353,225,84,68,22,17,3,5
010306,AMAZONAS,BONGARA,FLORIDA,0.338868631,0.33682214,74.64640129,0.355042017,5.4329,419.6379044,1670,786,642,226,15,27,60
010307,AMAZONAS,BONGARA,JAZAN,0.489340458,0.22712901,73.65061083,0.537288136,7.1058,830.0205559,2365,536,75,196,288,27,26
010308,AMAZONAS,BONGARA,RECTA,0.309083361,0.38690705,71.10878755,0.25,5.3214,415.3889006,79,48,40,8,29,0,0
010309,AMAZONAS,BONGARA,SAN CARLOS,0.338418371,0.289591,69.6798972,0.4375,5.6073,409.5970866,183,90,85,9,39,3,1
010310,AMAZONAS,BONGARA,SHIPASBAMBA,0.335386928,0.35863148,74.91626489,0.459627329,4.6084,405.7458126,452,204,141,56,34,4,22
010311,AMAZONAS,BONGARA,VALERA,0.399486525,0.2078695,65.85509666,0.431372549,4.6945,813.3223076,300,96,8,14,83,1,3
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,0.32381489,0.43859279,73.72521282,0.327455919,4.4567,451.3910325,1660,1042,921,251,34,19,81
010401,AMAZONAS,CONDORCANQUI,NIEVA,0.284311238,0.51406262,66.78079981,0.267560664,5.6907,335.4641559,4710,3863,3450,1644,328,259,318
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,0.234997957,0.62912381,74.67270386,0.273846154,4.5465,202.8972871,2087,1841,1601,797,13,384,227
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,0.188043993,0.59872335,64.6585462,0.269907795,5.2179,132.2896312,3070,2815,1563,1356,1824,267,312
010501,AMAZONAS,LUYA,LAMUD,0.472937088,0.30951386,74.1117395,0.520467836,7.7705,715.9807707,749,65,8,24,17,2,17
010502,AMAZONAS,LUYA,CAMPORREDONDO,0.329126352,0.50206718,71.68372431,0.278586279,5.2429,469.6030356,1835,360,49,253,10,19,88
010503,AMAZONAS,LUYA,COCABAMBA,0.254240267,0.55979223,71.23439001,0.232,3.7452,329.8859608,559,120,25,48,38,2,31
010504,AMAZONAS,LUYA,COLCAMAR,0.291198258,0.42320492,77.5953484,0.265151515,4.24,360.3039672,648,72,18,31,19,4,11
010505,AMAZONAS,LUYA,CONILA,0.348398061,0.49642272,83.02516097,0.549707602,4.3227,379.924868,527,78,35,14,20,2,23
010506,AMAZONAS,LUYA,INGUILPATA,0.310508842,0.40196248,78.68637045,0.555555556,4.7931,276.0159909,170,32,19,8,5,2,5
010507,AMAZONAS,LUYA,LONGUITA,0.232808968,0.56751291,74.98774817,0.285714286,4.1701,205.9616003,254,42,19,17,4,1,4
010508,AMAZONAS,LUYA,LONYA CHICO,0.336785464,0.46699525,79.81179098,0.337349398,4.3665,452.4339483,271,96,28,8,60,2,12
010509,AMAZONAS,LUYA,LUYA,0.390342481,0.30284501,79.33617532,0.453608247,6.0537,474.1742182,1167,144,8,28,61,10,48
010510,AMAZONAS,LUYA,LUYA VIEJO,0.294554521,0.54438368,87.166014,0.333333333,4.352,283.4143577,103,17,0,5,4,1,10
010511,AMAZONAS,LUYA,MARIA,0.226111145,0.51870194,72.37690485,0.18,4.5876,226.9818137,241,40,21,15,2,2,6
010512,AMAZONAS,LUYA,OCALLI,0.302057349,0.4539658,69.40506545,0.295019157,5.1443,383.2333226,1077,151,16,82,13,13,43
010513,AMAZONAS,LUYA,OCUMAL,0.281134333,0.52242779,71.89503688,0.385665529,4.5922,289.4769482,897,191,50,103,27,9,46
010514,AMAZONAS,LUYA,PISUQUIA,0.393978798,0.58528572,71.81184802,0.396449704,4.0423,807.2078392,1339,235,27,108,20,13,90
010515,AMAZONAS,LUYA,PROVIDENCIA,0.235794188,0.54733542,75.31336628,0.252873563,4.6549,205.91536,328,63,11,34,11,2,16
010516,AMAZONAS,LUYA,SAN CRISTOBAL,0.353867833,0.5275641,77.76638184,0.446808511,3.9666,510.6945791,190,41,15,12,12,1,9
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,0.345969328,0.49096061,70.94215949,0.297297297,3.8169,683.7480609,243,61,22,26,10,7,14
010518,AMAZONAS,LUYA,SAN JERONIMO,0.240222932,0.47147578,77.12571726,0.291666667,3.5584,241.9671666,243,76,33,19,38,3,4
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,0.374071121,0.55646778,78.27511479,0.435897436,3.6958,637.3682589,129,76,69,13,2,2,5
010520,AMAZONAS,LUYA,SANTA CATALINA,0.280605798,0.60302966,80.21555097,0.205128205,3.7813,384.8267743,540,232,173,39,49,13,26
010521,AMAZONAS,LUYA,SANTO TOMAS,0.271875308,0.46979229,70.70481597,0.319148936,4.5625,295.9827709,927,454,361,67,19,46,45
010522,AMAZONAS,LUYA,TINGO,0.357524149,0.400163,65.96168232,0.387755102,5.2675,571.2455625,385,89,21,38,28,13,10
010523,AMAZONAS,LUYA,TRITA,0.361994367,0.50058289,83.96408795,0.336956522,4.652,492.3708738,380,39,3,10,12,2,14
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,0.493307075,0.20821354,74.20274235,0.493243243,7.6013,838.8626191,1767,249,69,100,72,19,27
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,0.254203113,0.38449165,66.4645548,0.252873563,4.507,301.8591443,749,517,455,85,129,13,27
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,0.39138006,0.33428571,79.41045617,0.555555556,6.0289,435.6347462,186,82,73,14,6,0,1
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,0.369380877,0.22971,73.02157126,0.325396825,5.2809,584.6000628,993,553,449,35,224,9,15
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,0.255573641,0.37433423,65.33990558,0.333333333,4.9494,260.098377,736,429,316,62,251,9,13
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,0.410787771,0.25822,71.60291741,0.401960784,5.6302,703.1118741,493,196,133,32,87,8,16
