fid,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,pm2.5_mean
"1","06",CAJAMARCA,"05",CONTUMAZA,"04",GUZMANGO,GUZMANGO,"060504","0605","060504","50",GUZMANGO,17.972972869873
"2","06",CAJAMARCA,"11",SAN MIGUEL,"05",EL PRADO,EL PRADO,"061105","0611","061105","15",EL PRADO,18.8385965113054
"3","06",CAJAMARCA,"11",SAN MIGUEL,"09",NIEPOS,NIEPOS,"061109","0611","061109","41",NIEPOS,21.1961538021381
"4","06",CAJAMARCA,"11",SAN MIGUEL,"10",SAN GREGORIO,SAN GREGORIO,"061110","0611","061110","48",SAN GREGORIO,21.5221343737817
"5","06",CAJAMARCA,"12",SAN PABLO,"03",SAN LUIS,SAN LUIS GRANDE,"061203","0612","061203","9",SAN LUIS,19.6393940665505
"6","14",LAMBAYEQUE,"01",CHICLAYO,"03",ETEN,ETEN,"140103","1401","140103","8",ETEN,25.404166618983
"7","14",LAMBAYEQUE,"01",CHICLAYO,"06",LA VICTORIA,LA VICTORIA,"140106","1401","140106","28",LA VICTORIA,28.9314286368234
"8","14",LAMBAYEQUE,"01",CHICLAYO,"07",LAGUNAS,MOCUPE,"140107","1401","140107","27",LAGUNAS,26.8191977503648
"9","14",LAMBAYEQUE,"01",CHICLAYO,"08",MONSEFU,MONSEFU,"140108","1401","140108","44",MONSEFU,27.6894737042879
"10","14",LAMBAYEQUE,"01",CHICLAYO,"14",SANTA ROSA,SANTA ROSA,"140114","1401","140114","3",SANTA ROSA,26.8749998410543
"11","14",LAMBAYEQUE,"01",CHICLAYO,"15",SAÑA,SAÑA,"140115","1401","140115","35",SAÑA,27.1128404669261
"12","14",LAMBAYEQUE,"01",CHICLAYO,"16",CAYALTI,CAYALTI,"140116","1401","140116","18",CAYALTI,26.1503817725728
"13","15",LIMA,"02",BARRANCA,"01",BARRANCA,BARRANCA,"150201","1502","150201","38",BARRANCA,33.9474074752242
"14","15",LIMA,"08",HUAURA,"06",HUAURA,HUAURA,"150806","1508","150806","37",HUAURA,31.4593984895481
"15","15",LIMA,"09",OYON,"02",ANDAJES,ANDAJES,"150902","1509","150902","27",ANDAJES,30.3944443596734
"16","15",LIMA,"09",OYON,"03",CAUJUL,CAUJUL,"150903","1509","150903","18",CAUJUL,29.1218390629209
