ubigeo_ori,ubigeo_des,cases
150101,150101,45240
150101,150102,7
150101,150103,145
150101,150104,123
150101,150105,5490
150101,150106,34
150101,150107,20
150101,150108,348
150101,150109,3
150101,150110,195
150101,150111,745
150101,150112,387
150101,150113,2801
150101,150114,1106
150101,150115,982
150101,150116,1971
150101,150117,1375
150101,150118,120
150101,150119,23
150101,150120,547
150101,150121,2766
150101,150122,976
150101,150123,41
150101,150125,64
150101,150128,652
150101,150129,3
150101,150130,375
150101,150131,1999
150101,150132,728
150101,150133,45
150101,150134,143
150101,150135,1026
150101,150136,3542
150101,150137,368
150101,150139,2
150101,150140,1272
150101,150141,325
150101,150142,114
150101,150143,31
150102,150101,497
150102,150102,12808
150102,150103,25
150102,150104,5
150102,150105,53
150102,150106,36
150102,150107,7
150102,150108,36
150102,150110,235
150102,150111,22
150102,150112,252
150102,150113,141
150102,150114,49
150102,150115,55
150102,150116,76
150102,150117,1524
150102,150118,29
150102,150119,3
150102,150120,30
150102,150121,60
150102,150122,43
150102,150123,6
150102,150125,1086
150102,150127,1
150102,150128,53
150102,150129,1
150102,150130,29
150102,150131,53
150102,150132,71
150102,150133,14
150102,150134,9
150102,150135,195
150102,150136,77
150102,150137,39
150102,150139,178
150102,150140,81
150102,150141,15
150102,150142,39
150102,150143,23
150103,150101,8778
150103,150102,12
150103,150103,136856
150103,150104,185
150103,150105,853
150103,150106,29
150103,150107,2007
150103,150108,484
150103,150109,31
150103,150110,145
150103,150111,523
150103,150112,816
150103,150113,1810
150103,150114,8561
150103,150115,1152
150103,150116,2012
150103,150117,1207
150103,150118,3158
150103,150119,56
150103,150120,314
150103,150121,704
150103,150122,1003
150103,150123,129
150103,150125,142
150103,150127,1
150103,150128,802
150103,150129,10
150103,150130,1350
150103,150131,1252
150103,150132,1300
150103,150133,128
150103,150134,1098
150103,150135,676
150103,150136,1443
150103,150137,4635
150103,150138,1
150103,150139,5
150103,150140,4310
150103,150141,422
150103,150142,300
150103,150143,85
150104,150101,464
150104,150103,8
150104,150104,4130
150104,150105,72
150104,150106,2
150104,150108,607
150104,150110,10
150104,150111,14
150104,150112,12
150104,150113,186
150104,150114,232
150104,150115,29
150104,150116,137
150104,150117,46
150104,150118,12
150104,150120,58
150104,150121,105
150104,150122,881
150104,150123,18
150104,150125,3
150104,150128,21
150104,150129,2
150104,150130,92
150104,150131,296
150104,150132,12
150104,150133,31
150104,150134,10
150104,150135,40
150104,150136,211
150104,150137,20
150104,150140,775
150104,150141,94
150104,150142,47
150104,150143,11
150105,150101,3105
150105,150102,2
150105,150103,33
150105,150104,42
150105,150105,12208
150105,150106,9
150105,150107,7
150105,150108,121
150105,150109,1
150105,150110,58
150105,150111,56
150105,150112,102
150105,150113,1603
150105,150114,410
150105,150115,210
150105,150116,635
150105,150117,329
150105,150118,36
150105,150119,8
150105,150120,316
150105,150121,2143
150105,150122,370
150105,150123,20
150105,150125,15
150105,150128,160
150105,150130,130
150105,150131,752
150105,150132,129
150105,150133,11
150105,150134,29
150105,150135,195
150105,150136,1041
150105,150137,97
150105,150140,477
150105,150141,122
150105,150142,41
150105,150143,8
150106,150101,3589
150106,150102,91
150106,150103,122
150106,150104,43
150106,150105,401
150106,150106,69926
150106,150107,12
150106,150108,198
150106,150109,6
150106,150110,7750
150106,150111,166
150106,150112,2364
150106,150113,779
150106,150114,429
150106,150115,240
150106,150116,539
150106,150117,9430
150106,150118,140
150106,150119,19
150106,150120,165
150106,150121,432
150106,150122,326
150106,150123,30
150106,150125,4785
150106,150126,1
150106,150127,1
150106,150128,506
150106,150129,9
150106,150130,165
150106,150131,442
150106,150132,247
150106,150133,49
150106,150134,37
150106,150135,1128
150106,150136,919
150106,150137,211
150106,150139,12
150106,150140,575
150106,150141,95
150106,150142,69
150106,150143,42
150107,150101,692
150107,150102,3
150107,150103,1025
150107,150104,17
150107,150105,42
150107,150106,2
150107,150107,7622
150107,150108,42
150107,150109,1
150107,150110,9
150107,150111,19
150107,150112,55
150107,150113,117
150107,150114,417
150107,150115,32
150107,150116,98
150107,150117,83
150107,150118,1705
150107,150119,1
150107,150120,15
150107,150121,55
150107,150122,113
150107,150123,6
150107,150125,9
150107,150128,47
150107,150129,1
150107,150130,82
150107,150131,113
150107,150132,68
150107,150133,4
150107,150134,16
150107,150135,37
150107,150136,83
150107,150137,156
150107,150140,357
150107,150141,22
150107,150142,11
150107,150143,5
150108,150101,4434
150108,150102,3
150108,150103,119
150108,150104,3266
150108,150105,524
150108,150106,9
150108,150107,15
150108,150108,67100
150108,150109,11
150108,150110,91
150108,150111,95
150108,150112,177
150108,150113,1458
150108,150114,1222
150108,150115,333
150108,150116,1190
150108,150117,454
150108,150118,126
150108,150119,70
150108,150120,249
150108,150121,584
150108,150122,3158
150108,150123,164
150108,150124,1
150108,150125,39
150108,150126,2
150108,150127,2
150108,150128,339
150108,150129,12
150108,150130,662
150108,150131,1193
150108,150132,204
150108,150133,1916
150108,150134,121
150108,150135,248
150108,150136,783
150108,150137,219
150108,150139,2
150108,150140,4591
150108,150141,537
150108,150142,1585
150108,150143,154
150109,150101,332
150109,150102,1
150109,150103,296
150109,150104,9
150109,150105,29
150109,150106,2
150109,150107,4
150109,150108,34
150109,150109,6033
150109,150110,3
150109,150111,20
150109,150112,18
150109,150113,83
150109,150114,1683
150109,150115,60
150109,150116,200
150109,150117,47
150109,150118,56
150109,150119,8
150109,150120,31
150109,150121,37
150109,150122,69
150109,150123,956
150109,150125,8
150109,150127,1
150109,150128,19
150109,150130,105
150109,150131,69
150109,150132,73
150109,150133,23
150109,150134,52
150109,150135,26
150109,150136,53
150109,150137,132
150109,150140,211
150109,150141,14
150109,150142,47
150109,150143,6
150110,150101,6238
150110,150102,62
150110,150103,117
150110,150104,104
150110,150105,666
150110,150106,2817
150110,150107,26
150110,150108,339
150110,150109,5
150110,150110,108932
150110,150111,211
150110,150112,3914
150110,150113,1615
150110,150114,912
150110,150115,352
150110,150116,932
150110,150117,16485
150110,150118,220
150110,150119,27
150110,150120,281
150110,150121,792
150110,150122,809
150110,150123,46
150110,150125,598
150110,150128,1060
150110,150129,13
150110,150130,304
150110,150131,1086
150110,150132,333
150110,150133,36
150110,150134,54
150110,150135,2135
150110,150136,1839
150110,150137,329
150110,150139,4
150110,150140,1133
150110,150141,239
150110,150142,101
150110,150143,30
150111,150101,6877
150111,150102,11
150111,150103,1361
150111,150104,48
150111,150105,830
150111,150106,8
150111,150107,15
150111,150108,166
150111,150109,8
150111,150110,77
150111,150111,31679
150111,150112,284
150111,150113,1159
150111,150114,1058
150111,150115,1305
150111,150116,1282
150111,150117,693
150111,150118,236
150111,150119,23
150111,150120,142
150111,150121,418
150111,150122,341
150111,150123,41
150111,150124,1
150111,150125,65
150111,150126,1
150111,150128,402
150111,150129,3
150111,150130,377
150111,150131,491
150111,150132,3853
150111,150133,62
150111,150134,840
150111,150135,293
150111,150136,522
150111,150137,2586
150111,150139,3
150111,150140,938
150111,150141,167
150111,150142,82
150111,150143,32
150112,150101,2856
150112,150102,15
150112,150103,45
150112,150104,48
150112,150105,529
150112,150106,89
150112,150107,6
150112,150108,162
150112,150109,1
150112,150110,1107
150112,150111,106
150112,150112,42336
150112,150113,675
150112,150114,365
150112,150115,217
150112,150116,474
150112,150117,6743
150112,150118,73
150112,150119,9
150112,150120,110
150112,150121,327
150112,150122,304
150112,150123,25
150112,150125,188
150112,150128,969
150112,150129,7
150112,150130,142
150112,150131,481
150112,150132,173
150112,150133,12
150112,150134,25
150112,150135,2547
150112,150136,624
150112,150137,134
150112,150140,453
150112,150141,107
150112,150142,46
150112,150143,12
150113,150101,1892
150113,150102,4
150113,150103,27
150113,150104,70
150113,150105,932
150113,150106,9
150113,150107,8
150113,150108,282
150113,150110,33
150113,150111,53
150113,150112,41
150113,150113,8320
150113,150114,814
150113,150115,166
150113,150116,825
150113,150117,191
