department,province,district,ubigeo,population,population_permanent,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,family_income,number_hh,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,32589,30470,0.605711277,0.09034625,73.29754386,0.746995778,9.7582,1086.762736,8359,832,247,405,113,64,106
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,262,250,0.421303484,0.36519949,72.34906658,0.666666667,5.8662,569.6103176,104,74,74,9,0,1,0
AMAZONAS,CHACHAPOYAS,BALSAS,010103,1136,1110,0.294232045,0.45732962,68.71056764,0.307692308,4.9866,362.9999036,355,104,10,47,44,3,16
AMAZONAS,CHACHAPOYAS,CHETO,010104,642,610,0.329548958,0.39169782,83.89632589,0.490196078,4.2735,342.5693794,220,66,55,3,26,2,2
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,585,571,0.264602301,0.53045662,77.26108878,0.346153846,3.304,308.8143746,206,120,86,19,52,5,0
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,1781,1728,0.248890615,0.51607832,66.22462272,0.285714286,5.6499,233.742394,544,165,86,36,43,7,19
AMAZONAS,CHACHAPOYAS,GRANADA,010107,480,471,0.344243848,0.43865957,65.21454048,0.24137931,4.1008,793.644551,156,67,60,4,4,0,3
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,1258,1134,0.417402027,0.31977312,75.93648116,0.613636364,5.9463,533.8398763,123,23,3,7,17,0,2
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,3978,3885,0.30315433,0.47947723,77.40612285,0.400552486,4.1929,337.6423149,1104,365,193,135,63,13,32
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,3620,3406,0.390026779,0.25741684,70.65798456,0.375451264,6.194,598.8610248,1101,239,88,116,22,15,44
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,794,703,0.328212667,0.41081444,83.10007358,0.372093023,3.7781,430.3227356,252,67,38,28,14,1,5
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,852,796,0.44214476,0.30634088,73.31931417,0.5,6.1648,709.8664781,317,62,16,21,31,3,7
