ubigeo,new_cases,name_code,subregion
150101,335,LI,Center Lima
150102,47,AN,North Lima
150103,737,AT,East Lima
150104,16,BC,Center Lima
150105,58,BR,Center Lima
150106,339,CY,North Lima
150107,56,CH,East Lima
150108,301,CR,South Lima
150109,20,CG,East Lima
150110,570,CM,North Lima
150111,326,EA,East Lima
150112,270,IN,North Lima
150113,18,JM,Center Lima
150114,35,LM,East Lima
150115,353,LV,Center Lima
150116,41,LN,Center Lima
150117,294,LO,North Lima
150118,238,LU,East Lima
150119,59,LR,South Lima
150120,27,MM,Center Lima
150122,17,MR,Center Lima
150123,108,PC,South Lima
150124,13,PU,South Lima
150125,312,PP,North Lima
150126,6,PH,South Lima
150127,4,PN,South Lima
150128,321,RM,Center Lima
150129,9,ST,South Lima
150130,17,SB,Center Lima
150131,9,SI,Center Lima
150132,1527,SJL,East Lima
150133,461,SJM,South Lima
150134,47,SL,East Lima
150135,612,SMP,North Lima
150136,78,SM,Center Lima
150137,248,SA,East Lima
150138,0,SMM,South Lima
150139,19,SR,North Lima
150140,131,SS,Center Lima
150141,77,SQ,Center Lima
150142,467,VES,South Lima
150143,460,VMT,South Lima
