ubigeo,departamento,provincia,distrito,pop_2017,pop_permanent_2017,type,region,centrality_degree_in,centrality_degree_out,centrality_degree_all,centrality_strength_in,centrality_strength_out,centrality_strength_all,centrality_closeness_in,centrality_closeness_out,centrality_closeness_all,centrality_betweenness_weighted,centrality_authority_weighted,centrality_hub_weighted,centrality_pagerank_weighted
070101,CALLAO,CALLAO,CALLAO,451260,434911,total,CALLAO,49,49,98,1099.4861212257251,896.3141700795385,1995.8002913052633,37.60053942491255,32.341949410070164,58.81461068051782,0,0.07385639259782069,0.05682909138004617,0.01497065573491309
070102,CALLAO,CALLAO,BELLAVISTA,74851,71626,total,CALLAO,48,47,95,612.0193118536611,771.6591590645651,1383.6784709182264,28.929936178179762,34.47325710918223,60.862784716958075,0,0.037977196822479166,0.04997064934070899,0.008012082060578773
070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,42240,41106,total,CALLAO,46,49,95,395.77033168748966,813.6610500534327,1209.4313817409234,28.64678608880292,41.38282502525527,78.07358238250755,0.02040816326530612,0.02400334050972072,0.04807931957018764,0.00532847503857089
070104,CALLAO,CALLAO,LA PERLA,61417,59524,total,CALLAO,46,49,95,283.8743724279506,928.5161016549707,1212.3904740829216,21.044886886122303,36.32625353228257,64.56826275301516,0,0.014932666686454833,0.05626136515653054,0.005340292278330342
070105,CALLAO,CALLAO,LA PUNTA,3829,3633,total,CALLAO,48,38,86,6483.928401802365,1720.0784496536958,8204.00685145606,85.73778432805841,39.37972946139395,149.4190356035701,0.04039115646258504,1,0.10820846305547205,0.05886291726009264
070106,CALLAO,CALLAO,VENTANILLA,315600,305480,total,CALLAO,47,49,96,271.9494759227714,2101.4124133002006,2373.361889222973,25.647035166491097,39.89169356297595,90.32100678596969,0,0.012187423681596962,0.1350222354186512,0.006712545087169638
070107,CALLAO,CALLAO,MI PERU,45297,43887,total,CALLAO,29,48,77,23.511745552794142,2747.725660894195,2771.2374064469886,5.264685973665043,55.27882590706894,111.1832752011658,0,8.177442420129349e-4,0.17626180218781362,0.0032127878485738756
150101,LIMA,LIMA,LIMA,268352,257461,total,CENTRAL LIMA,49,49,98,4829.63483884762,538.6247968433747,5368.259635690997,81.88618190325164,28.710164998564576,121.58658485787117,0,0.44567451645811557,0.03171232762167197,0.036905240622933544
150102,LIMA,LIMA,ANCON,62928,59255,total,NORTHERN LIMA,47,48,95,1288.9563949073397,4602.292330313218,5891.248725220557,55.42162099022394,47.486950570363575,125.92734518562862,0.15943877551020408,0.06854430032128918,0.2749284029176667,0.01646151953477715
150103,LIMA,LIMA,ATE,599196,579105,total,EASTERN LIMA,49,49,98,582.825515402114,1176.8805950398028,1759.7061104419174,25.861242853789165,27.117848387253584,72.53730521555285,0,0.0319852671834054,0.07256484505374954,0.011637832199971155
150104,LIMA,LIMA,BARRANCO,34378,32895,total,CENTRAL LIMA,49,45,94,2199.7127636192467,537.2811402761951,2736.9939038954426,65.31846274442118,23.420296792725036,104.51872302501437,0,0.24249067316958783,0.03576586347150793,0.02196746527383696
150105,LIMA,LIMA,BREÑA,85309,81222,total,CENTRAL LIMA,49,49,98,1453.4857903991006,505.21601033567924,1958.7018007347801,50.75869941223746,28.56747853772637,68.88102404900702,0,0.12346055960854135,0.03183207398453887,0.01316332164266341
150106,LIMA,LIMA,CARABAYLLO,333045,320618,total,NORTHERN LIMA,45,49,94,165.51417493300139,3161.3214212303237,3326.835596163325,12.211100797230726,43.34290590100862,111.6886956676785,0,0.0065564423885932826,0.19412242434767737,0.004911801432821526
150107,LIMA,LIMA,CHACLACAYO,42912,41235,total,EASTERN LIMA,49,46,95,826.4336215425468,2641.9785148304004,3468.4121363729455,65.13214427397367,34.429498216718535,118.3916883930941,0.03869047619047619,0.1323721723420558,0.17914994020713523,0.012652046337871396
150108,LIMA,LIMA,CHORRILLOS,314241,304295,total,SOUTHERN LIMA,49,48,97,1017.9581696816475,1015.5760736693827,2033.5342433510305,47.20574308165168,35.048161728970946,65.90399139120976,0,0.09067135715638086,0.06835644273568996,0.014263167533809967
150109,LIMA,LIMA,CIENEGUILLA,34684,32697,total,EASTERN LIMA,47,46,93,493.9946166389878,2342.9140027622866,2836.9086194012743,26.713990984493922,36.4811610646777,101.8701266788983,0,0.02677788578578582,0.14425644307761434,0.010353737119630842
150110,LIMA,LIMA,COMAS,520450,504617,total,NORTHERN LIMA,48,49,97,205.89101810064412,1307.7620532526792,1513.6530713533232,20.520811009872446,36.41100093699802,82.4286974888692,4.2517006802721087e-4,0.012373332273491784,0.084104855724081,0.004791968245192925
150111,LIMA,LIMA,EL AGUSTINO,198862,191624,total,EASTERN LIMA,49,49,98,253.76908843868236,619.1538122626121,872.9229007012943,18.768716249104333,27.540518832508756,40.215420370060905,0,0.02306696635508899,0.03697909376078572,0.005065104584653464
150112,LIMA,LIMA,INDEPENDENCIA,211360,204990,total,NORTHERN LIMA,48,49,97,485.48137137368764,802.069263640647,1287.5506350143353,34.762838621520835,29.6567902272033,54.72725301383755,0,0.03232446089438345,0.051846794321742204,0.006442539121499208
150113,LIMA,LIMA,JESUS MARIA,75359,69031,total,CENTRAL LIMA,49,47,96,3514.4822976441565,450.18422589773326,3964.66652354189,72.88160279053722,23.846783293239977,113.68087151516694,0,0.35074490132104186,0.025268327724925523,0.02984972864472398
150114,LIMA,LIMA,LA MOLINA,140679,134095,total,EASTERN LIMA,49,49,98,2941.3295478940768,1276.4677438981148,4217.797291792193,65.35580926786602,37.089896512871555,102.76569107618084,0.03018707482993197,0.22905582823773885,0.09395436115165015,0.04090739160062147
150115,LIMA,LIMA,LA VICTORIA,173630,166465,total,CENTRAL LIMA,49,49,98,1896.8469767899423,374.55074616536047,2271.3977229553025,54.883844492347464,32.322848054820284,76.65692483090139,0,0.14880612547985195,0.019691188658148402,0.015876305931011806
150116,LIMA,LIMA,LINCE,54711,52055,total,CENTRAL LIMA,49,47,96,3755.5816833986623,414.86631436336745,4170.4479977620285,77.66448590891976,24.02031205402654,121.72983277686775,0,0.4058348212451628,0.02323447459774619,0.028164725622895143
150117,LIMA,LIMA,LOS OLIVOS,325884,313849,total,NORTHERN LIMA,49,49,98,1104.5949502520602,1118.3974009724232,2222.9923512244836,47.00057478287068,32.16104532791663,85.30786105428948,0,0.09036704521515579,0.07184377292410536,0.010275158398218857
150118,LIMA,LIMA,LURIGANCHO,240814,230013,total,EASTERN LIMA,48,49,97,681.0619769518339,1741.1107558582162,2422.17273281005,19.05772546423055,36.323198590156224,86.6653688109955,0,0.02513033670329286,0.10287968105918721,0.013619954448602851
150119,LIMA,LIMA,LURIN,89195,85227,total,SOUTHERN LIMA,49,48,97,4276.937935291866,2244.6855101352044,6521.623445427072,75.60378794834112,41.705273152733696,123.51810525796698,0.04124149659863945,0.4208231813073052,0.14397919771992707,0.05440595250396642
150120,LIMA,LIMA,MAGDALENA DEL MAR,60290,57535,total,CENTRAL LIMA,49,48,97,1508.504346455824,501.5717589347087,2010.076105390533,54.61701664655097,22.97052763182466,75.25814591009862,0,0.11980255666851772,0.029745958892264605,0.015706121556444498
150121,LIMA,LIMA,MAGDALENA VIEJA,83323,79211,total,CENTRAL LIMA,49,48,97,1316.109701077624,579.9601500584982,1896.0698511361222,55.82476977292503,37.20107482853657,84.62363730832622,0,0.13389019234116878,0.033086932691235825,0.013074352557522243
150122,LIMA,LIMA,MIRAFLORES,99337,92749,total,CENTRAL LIMA,49,48,97,5219.879211489864,559.777138271621,5779.656349761485,81.11265142568182,32.269215463367615,127.99937689078122,0,0.5214325408126604,0.03201357917807936,0.04643158420929472
150123,LIMA,LIMA,PACHACAMAC,110071,106010,total,SOUTHERN LIMA,49,48,97,826.8221505330754,2080.7124848377184,2907.534635370794,41.646538271518224,35.37111154925015,96.75807747510035,0,0.07676395842590235,0.11661689161375825,0.014373477258700354
150124,LIMA,LIMA,PUCUSANA,14891,14151,total,SOUTHERN LIMA,49,45,94,3401.2367299737807,5939.395895134187,9340.632625107972,66.66443610472223,50.678177380912125,134.70585660827857,0.28316326530612246,0.15095505902636766,0.46610971632483444,0.047032690528488776
150125,LIMA,LIMA,PUENTE PIEDRA,329675,317617,total,NORTHERN LIMA,47,48,95,413.25973989005803,1827.4935707367542,2240.753310626812,38.30831580380272,41.25796280674335,88.1738436554086,0,0.026249892068533107,0.11702167541643552,0.006749143568816247
150126,LIMA,LIMA,PUNTA HERMOSA,15874,14689,total,SOUTHERN LIMA,48,48,96,2309.615235565926,4601.960408976811,6911.57564454274,66.00367145946647,48.85104450079486,123.85903489539389,0.04591836734693878,0.23027731445943445,0.28933467421658554,0.030257751573252365
150127,LIMA,LIMA,PUNTA NEGRA,7074,6565,total,SOUTHERN LIMA,44,44,88,3143.038758618031,5530.452074771866,8673.4908333899,76.491439371883,50.183641070837275,143.50078554119492,0.06207482993197279,0.4759313454372146,0.3580275583393337,0.03197091855380019
150128,LIMA,LIMA,RIMAC,174785,169595,total,CENTRAL LIMA,48,48,96,412.0354413004441,633.8327227759373,1045.868164076381,25.636317358989587,32.886531492676156,54.12712893412081,0,0.025852780337165503,0.039315747882252845,0.00637276419116711
150129,LIMA,LIMA,SAN BARTOLO,7482,6901,total,SOUTHERN LIMA,48,43,91,5954.066286196462,7117.317496949821,13071.383783146284,81.87950022666058,51.940040915035716,150.82254865648585,0.45408163265306123,0.8160767340893077,0.4724402093575441,0.05788120250185354
150130,LIMA,LIMA,SAN BORJA,113247,107055,total,CENTRAL LIMA,49,48,97,2301.9554243039697,682.586591296574,2984.542015600543,62.764985797252166,29.530792776392232,90.90676578849147,0,0.20869815548644516,0.050713484441173774,0.024298001570857534
150131,LIMA,LIMA,SAN ISIDRO,60735,56388,total,CENTRAL LIMA,49,47,96,8768.752452385235,512.825556749194,9281.578009134433,102.9878866669303,31.40464355254655,154.9770986758594,0.01445578231292517,0.8185795318269132,0.02939221580748655,0.07583552027985963
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1038495,1004690,total,EASTERN LIMA,49,49,98,227.95018775038443,1316.0915273307437,1544.0417150811281,19.80686152786142,31.99026946100415,75.74056694665747,0,0.020326106797198564,0.08388534994546185,0.005620291827466098
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,355219,344625,total,SOUTHERN LIMA,49,49,98,448.47815872288936,897.8565834103966,1346.3347421332858,33.514227480267806,34.03913727957501,58.292929464252175,0,0.0531549669202889,0.05746636637024948,0.00638223769232658
