ubigeo,district,population_permanent,total_centrality_strength_intra,study_centrality_strength_intra,work_centrality_strength_intra,total_centrality_degree_in,study_centrality_degree_in,work_centrality_degree_in,total_centrality_degree_out,study_centrality_degree_out,work_centrality_degree_out,total_centrality_degree_all,study_centrality_degree_all,work_centrality_degree_all,total_centrality_strength_in,study_centrality_strength_in,work_centrality_strength_in,total_centrality_strength_out,study_centrality_strength_out,work_centrality_strength_out,total_centrality_strength_all,study_centrality_strength_all,work_centrality_strength_all,total_centrality_closeness_in,study_centrality_closeness_in,work_centrality_closeness_in,total_centrality_closeness_out,study_centrality_closeness_out,work_centrality_closeness_out,total_centrality_closeness_all,study_centrality_closeness_all,work_centrality_closeness_all,total_centrality_betweenness_weighted,study_centrality_betweenness_weighted,work_centrality_betweenness_weighted,total_centrality_eigenvector_weighted,study_centrality_eigenvector_weighted,work_centrality_eigenvector_weighted,total_centrality_pagerank_weighted,study_centrality_pagerank_weighted,work_centrality_pagerank_weighted,total_structural_eccentricity_in,study_structural_eccentricity_in,work_structural_eccentricity_in,total_structural_eccentricity_out,study_structural_eccentricity_out,work_structural_eccentricity_out,total_structural_eccentricity_all,study_structural_eccentricity_all,work_structural_eccentricity_all,total_structural_transitivity_local,study_structural_transitivity_local,work_structural_transitivity_local,total_structural_transitivity_weighted,study_structural_transitivity_weighted,work_structural_transitivity_weighted,total_structural_knn_outout,study_structural_knn_outout,work_structural_knn_outout,total_structural_knn_outin,study_structural_knn_outin,work_structural_knn_outin,total_structural_knn_inout,study_structural_knn_inout,work_structural_knn_inout,total_structural_knn_inin,study_structural_knn_inin,work_structural_knn_inin,total_structural_constraint_weighted,study_structural_constraint_weighted,work_structural_constraint_weighted
070101,CALLAO,434911,191113,88452,106825,1,0.9795918367346939,1,1,0.9183673469387755,1,2,1.8979591836734695,2,143575,29157,116004,110506,41836,70659,254081,70993,186663,1237.308516592194,421.85580630125503,761.9024615228998,739.3826788623355,106.49433583666338,537.7036224043704,1594.8815812566945,661.8980478049918,1092.3440858776823,0.3201530612244898,0.18239795918367346,0.334608843537415,0.26704067162815803,0.13877040012924127,0.2430407453325476,0.009938729451598625,0.007864974363986964,0.0092942033610784,1,2,1,1,2,1,1,2,1,0.9931972789115647,0.972517730496454,0.9914965986394558,0.9980604938320194,0.9938819260274687,0.9974114446890922,48.4170452283134,42.94105555024381,48.32470032126127,48.730973883771014,47.86963380820346,48.667728102577165,48.66639735329967,44.594608498816754,48.56997172511293,47.89962737245342,46.246493123435194,47.646486328057655,0.1701762947171156,0.2171364790108576,0.1593855149305238
070102,BELLAVISTA,71626,22422,10877,12002,0.9795918367346939,0.9591836734693877,0.9795918367346939,0.9591836734693877,0.8775510204081632,0.9387755102040817,1.9387755102040816,1.836734693877551,1.9183673469387754,20301,9124,11375,28053,9859,18663,48354,18983,30038,979.078099488881,370.75549372645503,540.006586491994,639.778509241706,100.14985177150244,468.52280279892227,1209.605119536883,538.8807535697391,836.5219964013162,0,0,0,0.3161992260609714,0.41564997638356255,0.36510428579638426,0.017732875124734874,0.01912315683214354,0.019695710366226356,2,2,2,2,2,2,2,2,2,0.9982269503546098,0.972517730496454,0.9973404255319149,0.99980375229139,0.9868572216350352,0.9983906909404117,48.400456279185825,42.271021401764884,48.29266463055243,48.74701457954586,48.115833248808194,48.71038954080266,48.78956701640313,43.84831214379658,48.633054945054944,47.71666420373381,45.31576063130206,47.56694505494505,0.19665684611387566,0.22978398263983682,0.18680291261657003
070103,CARMEN DE LA LEGUA REYNOSO,41106,14600,7281,7509,0.9387755102040817,0.6122448979591837,0.9387755102040817,1,0.8775510204081632,1,1.9387755102040816,1.489795918367347,1.9387755102040816,6674,1160,5530,14428,4781,9900,21102,5941,15430,667.0232994996146,262.91256239164346,380.75004566902726,583.0727573637848,96.05469428400876,423.121690604265,1134.647202952144,462.8387742345351,760.9008616498618,0,0,0,0.4270460783377488,0.6875490466614194,0.38961076235177694,0.026897291518134556,0.04035073389473746,0.024394573343712016,2,2,2,1,2,1,1,2,1,0.9931972789115647,0.990909090909091,0.9914965986394558,0.9982268663317853,0.9994300010711389,0.9974778569885504,48.5088023288051,43.0196611587534,48.42484848484848,48.790962018297755,48.38088266053127,48.69616161616162,48.723404255319146,44.8051724137931,48.58462929475588,47.58121066826491,46.720689655172414,47.178300180831826,0.21203671557455375,0.2601090042182396,0.20200535316852541
070104,LA PERLA,59524,14327,6519,8008,0.9387755102040817,0.8775510204081632,0.9387755102040817,1,0.8571428571428571,0.9795918367346939,1.9387755102040816,1.7346938775510203,1.9183673469387754,7823,2653,5218,27697,10392,17747,35520,13045,22965,667.163637165093,260.7082197765818,386.9380070478651,630.3746772094619,100.19418141451479,461.287896432777,1145.0077938345582,510.35894956582797,802.6664183799761,0,0,0,0.326048077584838,0.4867245476157107,0.3329889883407021,0.021707674159959174,0.027540754504886206,0.020360435068162482,2,2,2,1,2,2,1,2,2,0.9931972789115647,0.990909090909091,0.9920212765957447,0.9968374624624624,0.9992874316178264,0.9974920206975462,48.205256887027474,42.114030023094685,48.12373922353074,48.80564682095534,48.30513856812933,48.77252493379163,48.44675955515787,43.87033546928006,48.36163280950556,48.15364949507862,46.78741047870336,47.954005366040626,0.19794907915884663,0.2606084537207458,0.18373481166640507
070105,LA PUNTA,3633,900,296,610,0.9795918367346939,0.8571428571428571,0.9795918367346939,0.7755102040816326,0.5306122448979592,0.7551020408163265,1.7551020408163265,1.3877551020408163,1.7346938775510203,3170,753,2459,1579,640,973,4749,1393,3432,405.42543852666483,140.86202533006562,261.32911900471106,252.3317488449585,49.61699826787777,191.14304885245545,433.9544950354482,157.22599930146805,290.1319582180003,0,0,0,0.5894861658414008,0.7038404911700767,0.6664049679034534,0.031276661190380556,0.037193225679220676,0.03513362523816111,2,2,2,2,3,2,2,2,2,0.9946808510638298,0.991140642303433,0.9929078014184397,0.9975179545077799,0.9967353775681127,0.9964724991320736,48.231792273590884,42.3078125,48.26310380267215,48.85940468651045,48.4890625,48.83658787255909,48.570977917981075,43.88844621513944,48.40992273281822,47.96845425867508,46.418326693227094,47.750711671411146,0.18485778957073493,0.2018808648346633,0.18379410009194885
070106,VENTANILLA,305480,134644,79409,57591,0.9591836734693877,0.8367346938775511,0.9387755102040817,1,0.9387755102040817,1,1.9591836734693877,1.7755102040816326,1.9387755102040816,21158,6068,15323,76244,22044,55379,97402,28112,70702,856.9042592788605,289.9306219306797,540.7964707903194,724.5449783533097,105.26363061661826,532.3703924889653,1462.4850043933643,593.7378711574017,1011.5499457739897,0.025935374149659865,0.09948979591836735,0.022108843537414966,0.46236552406056697,0.5261859911803168,0.2877436179063507,0.024996109171822378,0.028359556333263303,0.015525147190081308,2,2,2,1,2,1,1,2,1,0.9931972789115647,0.9824236817761332,0.9914965986394558,0.9949750775138088,0.9894923411942292,0.9953236824983734,48.518689995278315,43.6115496280167,48.4695642752668,48.25398719899271,46.39153511159499,48.333483811553116,48.41275167785235,44.26450230718523,48.429680871891925,44.70999149257964,34.87359920896506,45.309404163675524,0.19524822879730827,0.23639101660594367,0.19340609349288854
070107,MI PERU,43887,15985,9864,6259,0.5918367346938775,0.2653061224489796,0.5714285714285714,0.9795918367346939,0.8775510204081632,0.9795918367346939,1.5714285714285714,1.1428571428571428,1.5510204081632653,1407,738,677,15018,4623,10622,16425,5361,11299,476.6738403909833,197.51267337962173,248.35015945188297,602.143276313932,98.11730120696937,457.2826811738364,1016.5538064650787,417.6047383181213,757.9100114464148,0,0,0,0.7680251052712476,0.4856984628613577,0.7259969826159641,0.0625660898148231,0.031331931597059666,0.06188909255190827,2,2,2,2,2,2,2,2,2,0.9982269503546098,0.9966777408637875,0.9973404255319149,0.9998976650798277,0.9997335251951928,0.9997043609583224,48.63570382208017,44.24745836037205,48.58115232536245,48.23684911439606,45.6469824789098,48.11174919977405,48.859275053304906,45.81436314363144,48.85967503692762,47.08102345415778,41.33468834688347,46.53471196454948,0.2540943213259993,0.33138390540421486,0.24728411415245433
150101,LIMA,257461,103699,44656,62700,1,1,1,1,0.8979591836734694,1,2,1.8979591836734695,2,395877,135548,271794,83062,31053,53299,478939,166601,325093,1499.946893496191,604.1839087316458,875.3369069307145,691.3816493415916,102.86664021743734,506.0599461967698,1668.4654376394872,696.3645753163873,1149.9949999215032,0.3550170068027211,0.35841836734693877,0.3388605442176871,0.024690754730329723,0.0203401120950273,0.03959486079768802,0.0037166177292459117,0.003690205984551227,0.004092038594452078,1,1,1,1,2,1,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9983687901799603,0.9846872167634048,0.997805948349139,48.24378175338904,42.249508904131645,48.185031614101575,48.8822566275794,48.37394132611986,48.77738794348862,48.64892378188175,44.63176881990144,48.60695968270087,48.4326343788601,47.004264172101394,48.26623840114204,0.13184787957560096,0.12570306951838953,0.13715615433726158
150102,ANCON,59255,24015,12602,11954,0.9591836734693877,0.6530612244897959,0.9591836734693877,0.9795918367346939,0.8775510204081632,0.9591836734693877,1.9387755102040816,1.530612244897959,1.9183673469387754,7940,1916,6092,16258,5279,11256,24198,7195,17348,575.6284637529839,189.8384873632831,396.2994779084763,605.6355359344913,100.36460024663327,434.455238728609,1017.2544692935053,462.56629022826195,688.7703001995272,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.4202439229248072,0.785742440656378,0.4799946382431962,0.025283774086666152,0.04042788562289184,0.026165546876431137,2,2,2,2,2,2,2,2,2,0.9982269503546098,0.9838383838383838,0.9973404255319149,0.9988182599933527,0.985235959315181,0.9992984659461633,48.509656784352316,44.21538170107975,48.47237029140014,48.16078238405708,46.1352528888047,48.14587775408671,48.44282115869018,44.998434237995824,48.52790544977019,46.55667506297229,37.18684759916493,46.79267892317794,0.21973733247258537,0.3069041414260373,0.20168777662137277
150103,ATE,579105,270555,135664,143098,1,0.9795918367346939,1,1,0.9183673469387755,1,2,1.8979591836734695,2,92195,19312,73970,148647,50500,100337,240842,69812,174307,1058.429082836944,417.72685259694134,674.5309500363211,754.317368171634,106.3749138645704,556.3625846856228,1575.8760715556077,669.2611820312924,1072.6255332123687,0.1296768707482993,0.11096938775510204,0.1602891156462585,0.12082453835648893,0.29836744644399393,0.1500043365445699,0.006841776408980971,0.013628120839562686,0.007374607831978649,1,2,1,1,2,1,1,1,1,0.9931972789115647,0.951530612244898,0.9914965986394558,0.9994066822508809,0.9839369186768273,0.9965713033135024,48.3529300961338,42.79225742574258,48.333217058512815,48.75747912840488,48.151445544554456,48.54802316194425,48.48027550300993,43.236640430820216,48.424077328646746,48.47257443462227,46.57430613090307,48.21593889414628,0.15299715858307159,0.1820366524350629,0.15126457567813498
