type,origin,destination,weight
total,150101,150101,111416
total,150101,150102,91
total,150101,150103,1890
total,150101,150104,535
total,150101,150105,8244
total,150101,150106,147
total,150101,150107,44
total,150101,150108,1242
total,150101,150109,24
total,150101,150110,703
total,150101,150111,1411
total,150101,150112,921
total,150101,150113,6437
total,150101,150114,2050
total,150101,150115,5592
total,150101,150116,4014
total,150101,150117,2465
total,150101,150118,546
total,150101,150119,480
total,150101,150120,1764
total,150101,150122,4909
total,150101,150123,113
total,150101,150124,30
total,150101,150125,419
total,150101,150126,17
total,150101,150127,11
total,150101,150128,1468
total,150101,150129,18
total,150101,150130,2319
total,150101,150131,7524
total,150101,150132,2174
total,150101,150133,382
total,150101,150134,791
total,150101,150135,2720
total,150101,150136,5780
total,150101,150137,1351
total,150101,150138,3
total,150101,150139,10
total,150101,150140,3205
total,150101,150141,1437
total,150101,150142,488
total,150101,150143,190
total,150102,150101,1696
total,150102,150102,26175
total,150102,150103,186
total,150102,150104,58
total,150102,150105,170
total,150102,150106,227
total,150102,150107,12
total,150102,150108,173
total,150102,150109,8
total,150102,150110,711
total,150102,150111,72
total,150102,150112,510
total,150102,150113,312
total,150102,150114,173
total,150102,150115,383
total,150102,150116,176
total,150102,150117,2778
total,150102,150118,99
total,150102,150119,88
total,150102,150120,97
total,150102,150122,352
total,150102,150123,28
total,150102,150124,6
total,150102,150125,3251
total,150102,150126,5
total,150102,150127,1
total,150102,150128,177
total,150102,150129,5
total,150102,150130,183
total,150102,150131,470
total,150102,150132,286
total,150102,150133,85
total,150102,150134,65
total,150102,150135,751
total,150102,150136,207
total,150102,150137,194
total,150102,150138,1
total,150102,150139,319
total,150102,150140,330
total,150102,150141,94
total,150102,150142,139
total,150102,150143,42
total,150103,150101,18812
total,150103,150102,116
total,150103,150103,288386
total,150103,150104,525
total,150103,150105,1804
total,150103,150106,199
total,150103,150107,3320
total,150103,150108,1858
total,150103,150109,289
total,150103,150110,554
total,150103,150111,2162
total,150103,150112,1125
total,150103,150113,3578
total,150103,150114,16985
total,150103,150115,13275
total,150103,150116,3309
total,150103,150117,1948
total,150103,150118,9753
total,150103,150119,1460
total,150103,150120,968
total,150103,150122,4715
total,150103,150123,562
total,150103,150124,49
total,150103,150125,524
total,150103,150126,66
total,150103,150127,29
total,150103,150128,1569
total,150103,150129,61
total,150103,150130,5225
total,150103,150131,6653
total,150103,150132,5146
total,150103,150133,904
total,150103,150134,4828
total,150103,150135,1410
total,150103,150136,2207
total,150103,150137,19360
total,150103,150138,7
total,150103,150139,16
total,150103,150140,9308
total,150103,150141,1866
total,150103,150142,1293
total,150103,150143,503
total,150104,150101,1385
total,150104,150102,2
total,150104,150103,177
total,150104,150104,10200
total,150104,150105,148
total,150104,150106,9
total,150104,150107,3
total,150104,150108,1409
total,150104,150109,3
total,150104,150110,35
total,150104,150111,31
total,150104,150112,45
total,150104,150113,519
total,150104,150114,452
total,150104,150115,346
total,150104,150116,366
total,150104,150117,103
total,150104,150118,45
total,150104,150119,109
total,150104,150120,257
total,150104,150122,2986
total,150104,150123,41
total,150104,150124,4
total,150104,150125,25
total,150104,150126,4
total,150104,150128,51
total,150104,150129,3
total,150104,150130,578
total,150104,150131,1936
total,150104,150132,82
total,150104,150133,162
total,150104,150134,68
total,150104,150135,90
total,150104,150136,369
total,150104,150137,70
total,150104,150140,1882
total,150104,150141,531
total,150104,150142,161
total,150104,150143,59
total,150105,150101,8508
total,150105,150102,21
total,150105,150103,621
total,150105,150104,199
total,150105,150105,27048
total,150105,150106,52
total,150105,150107,20
total,150105,150108,483
total,150105,150109,7
total,150105,150110,212
total,150105,150111,202
total,150105,150112,279
total,150105,150113,3699
total,150105,150114,704
total,150105,150115,1519
total,150105,150116,1474
total,150105,150117,667
total,150105,150118,142
total,150105,150119,138
total,150105,150120,933
total,150105,150122,2126
total,150105,150123,42
total,150105,150124,5
total,150105,150125,136
total,150105,150126,7
total,150105,150127,3
total,150105,150128,414
total,150105,150129,7
total,150105,150130,888
total,150105,150131,2938
total,150105,150132,512
total,150105,150133,133
total,150105,150134,190
total,150105,150135,598
total,150105,150136,1922
total,150105,150137,373
total,150105,150138,1
total,150105,150139,6
total,150105,150140,1273
total,150105,150141,598
total,150105,150142,150
total,150105,150143,46
total,150106,150101,12375
total,150106,150102,557
total,150106,150103,1256
total,150106,150104,333
total,150106,150105,1436
total,150106,150106,134937
total,150106,150107,33
total,150106,150108,895
total,150106,150109,39
total,150106,150110,17405
total,150106,150111,457
total,150106,150112,5059
total,150106,150113,2128
total,150106,150114,1219
total,150106,150115,2525
total,150106,150116,1298
total,150106,150117,15158
total,150106,150118,644
total,150106,150119,468
total,150106,150120,728
total,150106,150122,2693
total,150106,150123,100
total,150106,150124,51
total,150106,150125,10269
total,150106,150126,36
total,150106,150127,13
total,150106,150128,1430
total,150106,150129,27
total,150106,150130,1211
total,150106,150131,3322
total,150106,150132,1381
total,150106,150133,246
total,150106,150134,349
total,150106,150135,4489
total,150106,150136,2105
total,150106,150137,1160
total,150106,150138,3
total,150106,150139,67
total,150106,150140,2175
total,150106,150141,783
total,150106,150142,426
total,150106,150143,153
total,150107,150101,1662
total,150107,150102,16
total,150107,150103,3232
total,150107,150104,42
total,150107,150105,105
total,150107,150106,10
total,150107,150107,16225
total,150107,150108,125
total,150107,150109,3
total,150107,150110,20
total,150107,150111,88
total,150107,150112,73
total,150107,150113,242
