type,origin,destination,flow
Total,070101,070101,191113
Total,070101,070102,4516
Total,070101,070103,1427
Total,070101,070104,1429
Total,070101,070105,584
Total,070101,070106,2542
Total,070101,070107,50
Total,070101,150101,21992
Total,070101,150102,199
Total,070101,150103,1510
Total,070101,150104,377
Total,070101,150105,3034
Total,070101,150106,266
Total,070101,150107,32
Total,070101,150108,1099
Total,070101,150109,25
Total,070101,150110,1349
Total,070101,150111,416
Total,070101,150112,2272
Total,070101,150113,4432
Total,070101,150114,1561
Total,070101,150115,2482
Total,070101,150116,2311
Total,070101,150117,7646
Total,070101,150118,637
Total,070101,150119,705
Total,070101,150120,2182
Total,070101,150121,3035
Total,070101,150122,4478
Total,070101,150123,100
Total,070101,150124,61
Total,070101,150125,786
Total,070101,150126,46
Total,070101,150127,17
Total,070101,150128,1030
Total,070101,150129,23
Total,070101,150130,1859
Total,070101,150131,6573
Total,070101,150132,1155
Total,070101,150133,263
Total,070101,150134,467
Total,070101,150135,9422
Total,070101,150136,10772
Total,070101,150137,1139
Total,070101,150138,2
Total,070101,150139,19
Total,070101,150140,2350
Total,070101,150141,1273
Total,070101,150142,431
Total,070101,150143,130
Total,070102,070101,4464
Total,070102,070102,22422
Total,070102,070103,340
Total,070102,070104,1345
Total,070102,070105,278
Total,070102,070106,319
Total,070102,070107,2
Total,070102,150101,3999
Total,070102,150102,17
Total,070102,150103,338
Total,070102,150104,106
Total,070102,150105,809
Total,070102,150106,28
Total,070102,150107,9
Total,070102,150108,326
Total,070102,150109,5
Total,070102,150110,127
Total,070102,150111,74
Total,070102,150112,171
Total,070102,150113,1212
Total,070102,150114,484
Total,070102,150115,477
Total,070102,150116,580
Total,070102,150117,510
Total,070102,150118,83
Total,070102,150119,138
Total,070102,150120,645
Total,070102,150121,890
Total,070102,150122,1440
Total,070102,150123,28
Total,070102,150124,14
Total,070102,150125,83
Total,070102,150126,7
Total,070102,150128,123
Total,070102,150129,1
Total,070102,150130,506
Total,070102,150131,2142
Total,070102,150132,171
Total,070102,150133,61
Total,070102,150134,102
Total,070102,150135,375
Total,070102,150136,3843
Total,070102,150137,203
Total,070102,150139,4
Total,070102,150140,728
Total,070102,150141,360
Total,070102,150142,69
Total,070102,150143,17
Total,070103,070101,2087
Total,070103,070102,679
Total,070103,070103,14600
Total,070103,070104,146
Total,070103,070105,49
Total,070103,070106,314
Total,070103,070107,13
Total,070103,150101,3474
Total,070103,150102,28
Total,070103,150103,165
Total,070103,150104,34
Total,070103,150105,463
Total,070103,150106,17
Total,070103,150107,5
Total,070103,150108,106
Total,070103,150109,3
Total,070103,150110,148
Total,070103,150111,38
Total,070103,150112,176
Total,070103,150113,547
Total,070103,150114,148
Total,070103,150115,316
Total,070103,150116,267
Total,070103,150117,596
Total,070103,150118,72
Total,070103,150119,83
Total,070103,150120,221
Total,070103,150121,394
Total,070103,150122,421
Total,070103,150123,8
Total,070103,150124,6
Total,070103,150125,77
Total,070103,150126,5
Total,070103,150127,3
Total,070103,150128,94
Total,070103,150129,2
Total,070103,150130,183
Total,070103,150131,604
Total,070103,150132,120
Total,070103,150133,31
Total,070103,150134,60
Total,070103,150135,548
Total,070103,150136,1122
Total,070103,150137,127
Total,070103,150138,1
Total,070103,150139,1
Total,070103,150140,232
Total,070103,150141,128
Total,070103,150142,50
Total,070103,150143,16
Total,070104,070101,3756
Total,070104,070102,3264
Total,070104,070103,210
Total,070104,070104,14327
Total,070104,070105,200
Total,070104,070106,231
Total,070104,070107,1
Total,070104,150101,2778
Total,070104,150102,15
Total,070104,150103,270
Total,070104,150104,100
Total,070104,150105,622
Total,070104,150106,19
Total,070104,150107,7
Total,070104,150108,242
Total,070104,150109,3
Total,070104,150110,100
Total,070104,150111,47
Total,070104,150112,135
Total,070104,150113,1120
Total,070104,150114,460
Total,070104,150115,467
Total,070104,150116,540
Total,070104,150117,359
Total,070104,150118,68
Total,070104,150119,92
Total,070104,150120,933
Total,070104,150121,874
Total,070104,150122,1428
Total,070104,150123,33
Total,070104,150124,8
Total,070104,150125,50
Total,070104,150126,11
Total,070104,150127,1
Total,070104,150128,83
Total,070104,150129,1
Total,070104,150130,533
Total,070104,150131,2072
Total,070104,150132,149
Total,070104,150133,45
Total,070104,150134,90
Total,070104,150135,241
Total,070104,150136,4736
Total,070104,150137,133
Total,070104,150138,1
Total,070104,150139,3
Total,070104,150140,700
Total,070104,150141,375
Total,070104,150142,71
Total,070104,150143,20
Total,070105,070101,378
Total,070105,070102,108
Total,070105,070103,5
Total,070105,070104,22
Total,070105,070105,900
Total,070105,070106,9
Total,070105,150101,85
Total,070105,150102,2
Total,070105,150103,14
Total,070105,150104,13
Total,070105,150105,12
Total,070105,150107,1
Total,070105,150108,23
Total,070105,150110,1
Total,070105,150111,1
Total,070105,150112,4
Total,070105,150113,57
Total,070105,150114,40
Total,070105,150115,25
Total,070105,150116,14
Total,070105,150117,12
Total,070105,150118,3
Total,070105,150119,8
Total,070105,150120,40
Total,070105,150121,24
Total,070105,150122,130
Total,070105,150123,3
Total,070105,150124,1
Total,070105,150128,3
Total,070105,150130,91
Total,070105,150131,193
Total,070105,150132,3
Total,070105,150133,1
Total,070105,150134,2
Total,070105,150135,7
Total,070105,150136,140
Total,070105,150140,82
Total,070105,150141,12
Total,070105,150142,10
Total,070106,070101,13122
Total,070106,070102,1470
Total,070106,070103,966
Total,070106,070104,407
Total,070106,070105,240
Total,070106,070106,134644
Total,070106,070107,1067
Total,070106,150101,9315
Total,070106,150102,1349
Total,070106,150103,774
Total,070106,150104,172
Total,070106,150105,1143
Total,070106,150106,534
Total,070106,150107,55
Total,070106,150108,542
Total,070106,150109,31
Total,070106,150110,1807
Total,070106,150111,257
Total,070106,150112,1799
Total,070106,150113,1601
Total,070106,150114,753
Total,070106,150115,1736
Total,070106,150116,1037
Total,070106,150117,8192
Total,070106,150118,471
Total,070106,150119,415
Total,070106,150120,719
Total,070106,150121,959
Total,070106,150122,1764
Total,070106,150123,67
Total,070106,150124,43
Total,070106,150125,9280
Total,070106,150126,23
Total,070106,150127,8
Total,070106,150128,540
Total,070106,150129,20
Total,070106,150130,808
Total,070106,150131,2169
Total,070106,150132,827
Total,070106,150133,243
Total,070106,150134,242
Total,070106,150135,2917
Total,070106,150136,3363
Total,070106,150137,690
Total,070106,150138,3
Total,070106,150139,87
Total,070106,150140,1182
Total,070106,150141,482
Total,070106,150142,430
Total,070106,150143,123
Total,070107,070101,2692
Total,070107,070102,353
Total,070107,070103,238
Total,070107,070104,116
Total,070107,070105,48
Total,070107,070106,3225
Total,070107,070107,15985
Total,070107,150101,1547
Total,070107,150102,96
Total,070107,150103,105
Total,070107,150104,30
Total,070107,150105,201
Total,070107,150106,68
Total,070107,150107,8
Total,070107,150108,59
Total,070107,150109,4
Total,070107,150110,183
Total,070107,150111,27
Total,070107,150112,200
Total,070107,150113,236
Total,070107,150114,108
Total,070107,150115,216
Total,070107,150116,181
Total,070107,150117,950
Total,070107,150118,75
Total,070107,150119,59
Total,070107,150120,165
Total,070107,150121,163
Total,070107,150122,233
Total,070107,150123,8
Total,070107,150124,12
Total,070107,150125,1191
Total,070107,150126,6
Total,070107,150127,2
Total,070107,150128,66
Total,070107,150129,2
Total,070107,150130,123
Total,070107,150131,343
Total,070107,150132,96
Total,070107,150133,24
Total,070107,150134,25
Total,070107,150135,419
Total,070107,150136,730
Total,070107,150137,75
Total,070107,150139,8
Total,070107,150140,168
Total,070107,150141,61
Total,070107,150142,60
Total,070107,150143,13
Total,150101,070101,5147
Total,150101,070102,686
Total,150101,070103,326
Total,150101,070104,184
Total,150101,070105,72
Total,150101,070106,313
Total,150101,070107,4
Total,150101,150101,103699
Total,150101,150102,86
Total,150101,150103,1819
Total,150101,150104,510
