ubigeo,departamento,provincia,distrito,pop_2017,pop_permanent_2017,region,pm25,pc1
070101,CALLAO,CALLAO,CALLAO,451260,434911,CALLAO,1269.7786865234375,-0.5112803343343599
070102,CALLAO,CALLAO,BELLAVISTA,74851,71626,CALLAO,118.59988403320313,0.8662837009475429
070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,42240,41106,CALLAO,48.98243713378906,-0.4093560342787135
070104,CALLAO,CALLAO,LA PERLA,61417,59524,CALLAO,86.54066467285156,1.0968306167699848
070105,CALLAO,CALLAO,LA PUNTA,3829,3633,CALLAO,5.363863945007324,1.2422487836544764
070106,CALLAO,CALLAO,VENTANILLA,315600,305480,CALLAO,2067.454345703125,-2.649781629224365
070107,CALLAO,CALLAO,MI PERU,45297,43887,CALLAO,73.09021759033203,-2.1531130235127365
150101,LIMA,LIMA,LIMA,268352,257461,CENTRAL LIMA,609.23004150390625,0.6319291061278303
150102,LIMA,LIMA,ANCON,62928,59255,NORTHERN LIMA,9723.205078125,-1.785387823434473
150103,LIMA,LIMA,ATE,599196,579105,EASTERN LIMA,2954.4814453125,-0.9772607608835262
150104,LIMA,LIMA,BARRANCO,34378,32895,CENTRAL LIMA,68.7522964477539,1.8579662255615057
150105,LIMA,LIMA,BREÑA,85309,81222,CENTRAL LIMA,90.205841064453125,1.5135587106617183
150106,LIMA,LIMA,CARABAYLLO,333045,320618,NORTHERN LIMA,9953.8232421875,-1.6204728661080412
150107,LIMA,LIMA,CHACLACAYO,42912,41235,EASTERN LIMA,1308.7156982421875,0.30847386965943846
150108,LIMA,LIMA,CHORRILLOS,314241,304295,SOUTHERN LIMA,924.3321533203124,0.1597458552920879
150109,LIMA,LIMA,CIENEGUILLA,34684,32697,EASTERN LIMA,6874.8359375,-1.9329601042818836
150110,LIMA,LIMA,COMAS,520450,504617,NORTHERN LIMA,1475.0416259765625,-0.6223802637156509
150111,LIMA,LIMA,EL AGUSTINO,198862,191624,EASTERN LIMA,441.7509460449219,-0.6824926181509055
150112,LIMA,LIMA,INDEPENDENCIA,211360,204990,NORTHERN LIMA,495.5165100097656,-1.3218152035132402
150113,LIMA,LIMA,JESUS MARIA,75359,69031,CENTRAL LIMA,115.1229476928711,2.5190070040453767
150114,LIMA,LIMA,LA MOLINA,140679,134095,EASTERN LIMA,1743.1328125,2.1095625441131145
150115,LIMA,LIMA,LA VICTORIA,173630,166465,CENTRAL LIMA,271.5541076660156,-0.2624542204196453
150116,LIMA,LIMA,LINCE,54711,52055,CENTRAL LIMA,73.827301025390625,2.1728790618696734
150117,LIMA,LIMA,LOS OLIVOS,325884,313849,NORTHERN LIMA,474.5032653808594,0.8373426605083056
150118,LIMA,LIMA,LURIGANCHO,240814,230013,EASTERN LIMA,7775.556640625,-1.579161464215595
150119,LIMA,LIMA,LURIN,89195,85227,SOUTHERN LIMA,5362.57666015625,-1.3533291369428904
150120,LIMA,LIMA,MAGDALENA DEL MAR,60290,57535,CENTRAL LIMA,81.34899139404297,2.398005784349057
150121,LIMA,LIMA,MAGDALENA VIEJA,83323,79211,CENTRAL LIMA,118.57032775878906,2.4388984906522477
150122,LIMA,LIMA,MIRAFLORES,99337,92749,CENTRAL LIMA,229.44192504882813,2.418868544225331
150123,LIMA,LIMA,PACHACAMAC,110071,106010,SOUTHERN LIMA,5829.6201171875,-2.20122976647081
150124,LIMA,LIMA,PUCUSANA,14891,14151,SOUTHERN LIMA,792.81683349609375,-3.3198818687509277
150125,LIMA,LIMA,PUENTE PIEDRA,329675,317617,NORTHERN LIMA,1483.486328125,-2.0862823821381573
150126,LIMA,LIMA,PUNTA HERMOSA,15874,14689,SOUTHERN LIMA,3446.113037109375,-2.6715869771638223
150127,LIMA,LIMA,PUNTA NEGRA,7074,6565,SOUTHERN LIMA,3521.40576171875,-0.4818550708839576
150128,LIMA,LIMA,RIMAC,174785,169595,CENTRAL LIMA,376.7394409179687,-0.22819291269842903
150129,LIMA,LIMA,SAN BARTOLO,7482,6901,SOUTHERN LIMA,1526.319091796875,-0.14549914275389592
150130,LIMA,LIMA,SAN BORJA,113247,107055,CENTRAL LIMA,310.593017578125,2.393903917484886
150131,LIMA,LIMA,SAN ISIDRO,60735,56388,CENTRAL LIMA,252.58248901367188,2.129188277996583
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1038495,1004690,EASTERN LIMA,4625.4560546875,-1.1818923269998187
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,355219,344625,SOUTHERN LIMA,636.3271484375,-0.4480624979896708
150134,LIMA,LIMA,SAN LUIS,52082,49424,EASTERN LIMA,109.7719268798828,1.280872201918163
150135,LIMA,LIMA,SAN MARTIN DE PORRES,654083,629296,NORTHERN LIMA,950.13592529296875,0.3352643790211598
150136,LIMA,LIMA,SAN MIGUEL,155384,147699,CENTRAL LIMA,243.1628875732422,2.090271624668171
150137,LIMA,LIMA,SANTA ANITA,196214,188829,EASTERN LIMA,356.5181579589844,0.11912999088569988
150138,LIMA,LIMA,SANTA MARIA DEL MAR,999,915,SOUTHERN LIMA,209.9486083984375,0.5936871780641896
150139,LIMA,LIMA,SANTA ROSA,27863,26208,NORTHERN LIMA,463.89508056640625,-2.4522439483589924
150140,LIMA,LIMA,SANTIAGO DE SURCO,329152,315252,CENTRAL LIMA,986.100341796875,2.0280167183647175
150141,LIMA,LIMA,SURQUILLO,91023,86614,CENTRAL LIMA,122.3212890625,1.8384749638578612
150142,LIMA,LIMA,VILLA EL SALVADOR,393254,383154,SOUTHERN LIMA,957.2513427734376,-1.0457504013498236
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,398433,388303,SOUTHERN LIMA,2256.7578125,-1.2566874321248056
