incidence,full_flow_intra,study_flow_intra,work_flow_intra,full_centrality_degree_out,study_centrality_degree_out,work_centrality_degree_out,full_centrality_strength_out,study_centrality_strength_out,work_centrality_strength_out,full_centrality_closeness_out,study_centrality_closeness_out,work_centrality_closeness_out,full_centrality_betweenness_directed,study_centrality_betweenness_directed,work_centrality_betweenness_directed,full_centrality_eigenvector_directed,study_centrality_eigenvector_directed,work_centrality_eigenvector_directed,full_centrality_pagerank_directed,study_centrality_pagerank_directed,work_centrality_pagerank_directed
LA VICTORIA,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,LIMA,LURIN,LIMA,SAN JUAN DE LURIGANCHO,SAN MARTIN DE PORRES,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,PUNTA HERMOSA,SAN JUAN DE LURIGANCHO,SANTIAGO DE SURCO,SANTIAGO DE SURCO,LIMA,LIMA,LIMA,LIMA,LIMA,SANTIAGO DE SURCO,SAN ISIDRO
RIMAC,ATE,ATE,ATE,ANCON,VILLA EL SALVADOR,ATE,SAN MARTIN DE PORRES,SAN JUAN DE LURIGANCHO,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,VILLA EL SALVADOR,SAN MARTIN DE PORRES,LIMA,LIMA,SAN MARTIN DE PORRES,SAN ISIDRO,SANTIAGO DE SURCO,SAN ISIDRO,SAN ISIDRO,LIMA,LIMA
EL AGUSTINO,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,ATE,CARABAYLLO,BREÑA,ATE,ATE,ATE,VILLA EL SALVADOR,VILLA MARIA DEL TRIUNFO,VILLA MARIA DEL TRIUNFO,VILLA EL SALVADOR,LOS OLIVOS,SANTIAGO DE SURCO,MIRAFLORES,LOS OLIVOS,MIRAFLORES,MIRAFLORES,SAN ISIDRO,MIRAFLORES
SAN JUAN DE LURIGANCHO,COMAS,COMAS,COMAS,BREÑA,CHORRILLOS,CARABAYLLO,COMAS,COMAS,COMAS,VILLA MARIA DEL TRIUNFO,SAN JUAN DE LURIGANCHO,VILLA EL SALVADOR,LURIN,VILLA EL SALVADOR,LURIN,SANTIAGO DE SURCO,LA MOLINA,LA VICTORIA,SANTIAGO DE SURCO,MIRAFLORES,SANTIAGO DE SURCO
CHACLACAYO,VILLA EL SALVADOR,VILLA EL SALVADOR,VILLA EL SALVADOR,CARABAYLLO,EL AGUSTINO,CHORRILLOS,SANTIAGO DE SURCO,SANTIAGO DE SURCO,VILLA MARIA DEL TRIUNFO,ATE,SAN JUAN DE MIRAFLORES,ATE,SAN MARTIN DE PORRES,CHORRILLOS,ATE,LA VICTORIA,MIRAFLORES,SANTIAGO DE SURCO,JESUS MARIA,LA MOLINA,LA VICTORIA
SAN JUAN DE MIRAFLORES,VILLA MARIA DEL TRIUNFO,VILLA MARIA DEL TRIUNFO,CHORRILLOS,CHORRILLOS,SAN JUAN DE LURIGANCHO,COMAS,VILLA MARIA DEL TRIUNFO,CARABAYLLO,SANTIAGO DE SURCO,SAN JUAN DE MIRAFLORES,ATE,SAN JUAN DE MIRAFLORES,ATE,LURIN,SAN JUAN DE LURIGANCHO,JESUS MARIA,JESUS MARIA,SAN BORJA,LA MOLINA,JESUS MARIA,SAN BORJA
INDEPENDENCIA,PUENTE PIEDRA,PUENTE PIEDRA,VILLA MARIA DEL TRIUNFO,COMAS,SAN JUAN DE MIRAFLORES,EL AGUSTINO,SAN JUAN DE MIRAFLORES,VILLA MARIA DEL TRIUNFO,SAN JUAN DE MIRAFLORES,EL AGUSTINO,SAN MARTIN DE PORRES,COMAS,CHORRILLOS,LA MOLINA,VILLA EL SALVADOR,LA MOLINA,SAN ISIDRO,JESUS MARIA,LA VICTORIA,SAN MIGUEL,JESUS MARIA
SANTA ANITA,CHORRILLOS,LOS OLIVOS,PUENTE PIEDRA,EL AGUSTINO,VILLA MARIA DEL TRIUNFO,INDEPENDENCIA,VILLA EL SALVADOR,SAN JUAN DE MIRAFLORES,VILLA EL SALVADOR,LOS OLIVOS,CHORRILLOS,LOS OLIVOS,LA MOLINA,ATE,PUENTE PIEDRA,SAN BORJA,SAN MIGUEL,ATE,SAN BORJA,BREÑA,ATE
SAN BARTOLO,SAN JUAN DE MIRAFLORES,CARABAYLLO,SAN JUAN DE MIRAFLORES,INDEPENDENCIA,ATE,LA MOLINA,LOS OLIVOS,CHORRILLOS,LOS OLIVOS,SANTIAGO DE SURCO,SANTIAGO DE SURCO,SANTIAGO DE SURCO,LOS OLIVOS,COMAS,LOS OLIVOS,LOS OLIVOS,BREÑA,LA MOLINA,SAN MIGUEL,LOS OLIVOS,LA MOLINA
LIMA,CARABAYLLO,SAN JUAN DE MIRAFLORES,LIMA,LA MOLINA,PACHACAMAC,LA VICTORIA,CARABAYLLO,VILLA EL SALVADOR,CARABAYLLO,COMAS,EL AGUSTINO,EL AGUSTINO,PUENTE PIEDRA,CARABAYLLO,SAN JUAN DE MIRAFLORES,SAN MIGUEL,LINCE,SANTA ANITA,ATE,LINCE,SURQUILLO
ATE,LOS OLIVOS,CHORRILLOS,CARABAYLLO,LA VICTORIA,RIMAC,LOS OLIVOS,CHORRILLOS,PUENTE PIEDRA,CHORRILLOS,CHORRILLOS,LURIGANCHO,CHORRILLOS,SAN JUAN DE LURIGANCHO,SAN MARTIN DE PORRES,MIRAFLORES,ATE,CHORRILLOS,SURQUILLO,LINCE,CHORRILLOS,LINCE
VILLA EL SALVADOR,LURIGANCHO,SANTIAGO DE SURCO,LOS OLIVOS,LOS OLIVOS,SANTA ANITA,LURIGANCHO,PUENTE PIEDRA,LOS OLIVOS,PUENTE PIEDRA,PUENTE PIEDRA,COMAS,LURIGANCHO,SAN BARTOLO,SAN BARTOLO,LA MOLINA,LINCE,SAN MARTIN DE PORRES,CHORRILLOS,CHORRILLOS,SAN BORJA,CHORRILLOS
VILLA MARIA DEL TRIUNFO,SANTIAGO DE SURCO,LURIGANCHO,LURIGANCHO,LURIGANCHO,SANTIAGO DE SURCO,LURIN,EL AGUSTINO,LIMA,EL AGUSTINO,LURIGANCHO,LURIN,PUENTE PIEDRA,MIRAFLORES,PUENTE PIEDRA,COMAS,BREÑA,BARRANCO,LINCE,BREÑA,SAN MARTIN DE PORRES,SAN MIGUEL
COMAS,LIMA,LIMA,SANTIAGO DE SURCO,LURIN,LIMA,MIRAFLORES,LIMA,EL AGUSTINO,LIMA,CARABAYLLO,PUENTE PIEDRA,SANTA ANITA,COMAS,SAN ISIDRO,ANCON,CHORRILLOS,SAN BORJA,SAN MIGUEL,SURQUILLO,MAGDALENA DEL MAR,SANTA ANITA
CARABAYLLO,INDEPENDENCIA,INDEPENDENCIA,LA VICTORIA,MIRAFLORES,ANCON,PACHACAMAC,SANTA ANITA,SANTA ANITA,SANTA ANITA,SANTA ANITA,LOS OLIVOS,CARABAYLLO,ANCON,SAN MIGUEL,LURIGANCHO,SANTA ANITA,INDEPENDENCIA,LOS OLIVOS,LOS OLIVOS,BARRANCO,MAGDALENA DEL MAR
LURIGANCHO,SANTA ANITA,SANTA ANITA,SANTA ANITA,PACHACAMAC,COMAS,PUNTA HERMOSA,INDEPENDENCIA,LA VICTORIA,INDEPENDENCIA,LA MOLINA,LA MOLINA,INDEPENDENCIA,PACHACAMAC,ANCON,PACHACAMAC,SURQUILLO,MAGDALENA DEL MAR,BREÑA,MAGDALENA DEL MAR,ATE,BREÑA
PACHACAMAC,LA VICTORIA,RIMAC,INDEPENDENCIA,PUNTA HERMOSA,LURIGANCHO,SAN BORJA,RIMAC,LURIGANCHO,RIMAC,PACHACAMAC,CARABAYLLO,PACHACAMAC,SAN MIGUEL,LURIGANCHO,SAN BARTOLO,SAN MARTIN DE PORRES,RIMAC,SAN JUAN DE LURIGANCHO,SANTA ANITA,SURQUILLO,LURIN
CHORRILLOS,EL AGUSTINO,EL AGUSTINO,EL AGUSTINO,SAN BORJA,PUCUSANA,SAN JUAN DE LURIGANCHO,SAN MIGUEL,SAN BORJA,SAN MIGUEL,INDEPENDENCIA,SANTA ANITA,LA MOLINA,LA VICTORIA,PACHACAMAC,VILLA MARIA DEL TRIUNFO,SAN JUAN DE LURIGANCHO,SURQUILLO,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,LA VICTORIA,SAN JUAN DE LURIGANCHO
PUENTE PIEDRA,RIMAC,LA VICTORIA,RIMAC,SAN JUAN DE LURIGANCHO,PUENTE PIEDRA,SAN JUAN DE MIRAFLORES,LA MOLINA,INDEPENDENCIA,LA MOLINA,SAN BORJA,SAN BORJA,LIMA,SAN JUAN DE MIRAFLORES,SAN JUAN DE LURIGANCHO,LA VICTORIA,MAGDALENA DEL MAR,ATE,MAGDALENA DEL MAR,SAN JUAN DE LURIGANCHO,VILLA EL SALVADOR,LOS OLIVOS
SAN MARTIN DE PORRES,LA MOLINA,LA MOLINA,LURIN,SAN JUAN DE MIRAFLORES,PUNTA HERMOSA,SAN MARTIN DE PORRES,SAN BORJA,SAN MIGUEL,SAN BORJA,LIMA,PACHACAMAC,RIMAC,SANTA ANITA,LA VICTORIA,SAN BORJA,BARRANCO,LA VICTORIA,SAN LUIS,VILLA EL SALVADOR,INDEPENDENCIA,SAN MARTIN DE PORRES
SAN LUIS,SAN MIGUEL,PACHACAMAC,SAN MIGUEL,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,SAN MIGUEL,LURIGANCHO,LA MOLINA,LURIGANCHO,RIMAC,INDEPENDENCIA,SAN BORJA,SAN ISIDRO,SANTA ANITA,CHORRILLOS,INDEPENDENCIA,SANTA ANITA,SAN JUAN DE MIRAFLORES,BARRANCO,SANTA ANITA,VILLA EL SALVADOR
LOS OLIVOS,PACHACAMAC,SAN MIGUEL,LA MOLINA,SAN MIGUEL,INDEPENDENCIA,SANTIAGO DE SURCO,LA VICTORIA,RIMAC,LA VICTORIA,LURIN,SURQUILLO,SAN MIGUEL,SAN BORJA,RIMAC,SAN MIGUEL,SAN JUAN DE MIRAFLORES,COMAS,VILLA EL SALVADOR,LURIN,RIMAC,SAN LUIS
PUCUSANA,LURIN,LURIN,MIRAFLORES,SANTIAGO DE SURCO,LA VICTORIA,SURQUILLO,SURQUILLO,SURQUILLO,SURQUILLO,SAN MIGUEL,LIMA,LA VICTORIA,BARRANCO,PUNTA NEGRA,BARRANCO,VILLA EL SALVADOR,SAN JUAN DE LURIGANCHO,LURIGANCHO,SAN JUAN DE MIRAFLORES,SAN JUAN DE LURIGANCHO,SAN JUAN DE MIRAFLORES
SURQUILLO,MIRAFLORES,ANCON,PACHACAMAC,SURQUILLO,LINCE,VILLA EL SALVADOR,MIRAFLORES,MIRAFLORES,MIRAFLORES,SURQUILLO,MIRAFLORES,SURQUILLO,BREÑA,MIRAFLORES,BREÑA,SAN LUIS,VILLA EL SALVADOR,LURIN,SAN LUIS,SAN JUAN DE MIRAFLORES,BARRANCO
ANCON,BREÑA,BREÑA,SURQUILLO,VILLA EL SALVADOR,LOS OLIVOS,VILLA MARIA DEL TRIUNFO,PACHACAMAC,JESUS MARIA,PACHACAMAC,LA VICTORIA,LA VICTORIA,BREÑA,CARABAYLLO,BARRANCO,CARABAYLLO,RIMAC,SAN JUAN DE MIRAFLORES,BARRANCO,RIMAC,COMAS,LURIGANCHO
LINCE,SAN BORJA,MIRAFLORES,SAN BORJA,VILLA MARIA DEL TRIUNFO,SANTA ROSA,ANCON,BREÑA,PACHACAMAC,BREÑA,MIRAFLORES,SAN MIGUEL,MIRAFLORES,CHACLACAYO,BREÑA,CHACLACAYO,COMAS,EL AGUSTINO,INDEPENDENCIA,INDEPENDENCIA,EL AGUSTINO,COMAS
