ubigeo,year,tb,tbfp,population
070101,2018,1023,709,492879
070102,2018,135,68,79358
070103,2018,50,37,45396
070104,2018,29,12,63657
070105,2018,1,1,3979
070106,2018,417,297,343900
070107,2018,43,35,49620
150101,2018,644,505,271324
150102,2018,187,147,70294
150103,2018,983,670,633470
150104,2018,45,38,35467
150105,2018,55,42,90920
150106,2018,368,257,361168
150107,2018,39,21,43503
150108,2018,395,334,342762
150109,2018,23,19,36509
150110,2018,751,544,557093
150111,2018,349,251,213968
150112,2018,418,333,219569
150113,2018,225,156,78791
150114,2018,118,78,154950
150115,2018,359,290,188588
150116,2018,57,41,58668
150117,2018,319,210,345159
150118,2018,294,197,260050
150119,2018,78,57,99924
150120,2018,52,41,62406
150121,2018,28,17,90244
150122,2018,54,28,104334
150123,2018,104,65,126129
150124,2018,7,5,15421
150125,2018,431,296,362799
150126,2018,6,5,17876
150127,2018,0,0,7652
150128,2018,304,200,178962
150129,2018,7,7,8147
150130,2018,15,10,122913
150131,2018,16,11,65861
150132,2018,2993,2352,1123889
150133,2018,623,494,402989
150134,2018,156,133,55410
150135,2018,523,346,712545
150136,2018,91,58,164836
150137,2018,410,305,214625
150138,2018,0,0,1067
150139,2018,14,10,31021
150140,2018,138,97,385178
150141,2018,108,88,98159
150142,2018,484,356,415391
150143,2018,640,491,426398
070101,2019,1078,721,503234
070102,2019,119,72,80139
070103,2019,50,34,45963
070104,2019,35,20,64142
070105,2019,1,1,3963
070106,2019,372,267,357035
070107,2019,44,29,51036
150101,2019,675,559,269769
150102,2019,167,114,76357
150103,2019,1012,734,652900
150104,2019,35,22,35745
150105,2019,50,41,92153
150106,2019,373,258,380890
150107,2019,53,34,43897
150108,2019,372,305,349855
150109,2019,24,18,37815
150110,2019,740,477,566314
150111,2019,376,281,218277
150112,2019,401,300,221551
150113,2019,383,223,80377
150114,2019,129,97,157820
150115,2019,388,309,188900
150116,2019,44,37,59213
150117,2019,342,247,349100
150118,2019,322,233,271822
150119,2019,52,41,104770
150120,2019,46,32,63856
150121,2019,36,23,92250
150122,2019,70,45,106735
150123,2019,125,92,134104
150124,2019,7,5,16032
150125,2019,421,318,379550
150126,2019,3,3,19966
150127,2019,2,1,7955
150128,2019,335,250,179892
150129,2019,4,3,8442
150130,2019,14,11,125183
150131,2019,10,8,66878
150132,2019,2653,2090,1152258
150133,2019,589,456,408538
150134,2019,128,105,55688
150135,2019,520,361,729268
150136,2019,103,82,169282
150137,2019,441,340,218514
150138,2019,0,0,1106
150139,2019,10,7,34361
150140,2019,134,97,397082
150141,2019,102,83,99397
150142,2019,537,411,420278
150143,2019,625,463,432835
070101,2020,740,512,512386
070102,2020,105,70,80704
070103,2020,32,25,46409
070104,2020,24,19,64454
070105,2020,1,1,3935
070106,2020,294,213,369618
070107,2020,46,35,52348
150101,2020,490,350,267379
150102,2020,126,101,82677
150103,2020,776,603,670818
150104,2020,26,17,35915
150105,2020,46,38,93111
150106,2020,283,176,400414
150107,2020,37,28,44157
150108,2020,311,257,355978
150109,2020,31,22,39055
150110,2020,522,350,573884
150111,2020,273,195,221974
150112,2020,290,190,222850
150113,2020,296,182,81743
150114,2020,95,77,160244
150115,2020,226,189,188619
150116,2020,36,28,59578
150117,2020,273,187,351983
150118,2020,241,183,283231
150119,2020,37,32,109506
150120,2020,31,20,65139
150121,2020,8,7,94010
150122,2020,41,24,108855
150123,2020,88,67,142133
150124,2020,6,6,16615
150125,2020,336,247,395819
150126,2020,1,1,22230
150127,2020,0,0,8243
150128,2020,245,182,180260
150129,2020,4,3,8722
150130,2020,13,12,127102
150131,2020,10,6,67703
150132,2020,1967,1556,1177629
150133,2020,469,350,412865
150134,2020,74,57,55793
150135,2020,472,314,744050
150136,2020,94,77,173309
150137,2020,408,308,221776
150138,2020,0,0,1142
150139,2020,11,6,37940
150140,2020,103,73,408086
150141,2020,76,58,100339
150142,2020,473,367,423887
150143,2020,471,352,437992
070101,2021,805,584,520709
070102,2021,89,64,81122
070103,2021,39,26,46772
070104,2021,24,19,64524
070105,2021,3,1,3902
