ubigeo,ntl
010101,2.1782017
010102,0.2968878
010103,0.4215064
010104,0.3481476
010105,0.3073741
010106,0.4904955
010107,0.304303
010108,0.9837394
010109,0.5028966
010110,0.3754203
010111,0.3593607
010112,0.3631357
010113,0.4937071
010114,0.3220996
010115,0.3554001
010116,0.3029116
010117,0.3139235
010118,0.4109133
010119,0.3402214
010120,0.3469418
010121,0.3871179
010201,1.2192548
010202,0.4480366
010203,0.5454646
010204,0.7401398
010205,0.3893356
010206,0.5451613
010301,0.3409254
010302,0.3331723
010303,0.3706837
010304,0.3431074
010305,0.3829028
010306,0.4084087
010307,0.5764584
010308,0.3858517
010309,0.3118429
010310,0.3715187
010311,0.3294753
010312,0.3529443
010401,0.3927054
010402,1.0412533
010403,0.3685239
010501,0.5021835
010502,0.4242367
010503,0.3595376
010504,0.3941623
010505,0.3649085
010506,0.3822985
010507,0.3377712
010508,0.4361259
010509,0.6634328
010510,0.3636528
010511,0.4077827
010512,0.3970894
010513,0.3601143
010514,0.3813716
010515,0.405246
010516,0.3939824
010517,0.398264
010518,0.3717988
010519,0.4131812
010520,0.3789389
010521,0.4353832
010522,0.4224715
010523,0.4543689
010601,0.5497306
010602,0.3646313
010603,0.3256075
010604,0.4454401
010605,0.344837
010606,0.4105243
010607,0.3395737
010608,0.385396
010609,0.3395225
010610,0.3647425
010611,0.3863403
010612,0.327384
010701,0.661296
010702,0.4097433
010703,0.4393367
010704,0.6416311
010705,0.3864272
010706,0.4214957
010707,0.4083083
020101,1.0675812
020102,0.3373216
020103,0.3816995
020104,0.3294118
020105,1.5630801
020106,1.2786137
020107,0.4800894
020108,0.33589
020109,0.311
020110,0.3760732
020111,0.4401633
020112,0.5248753
020201,0.3829597
020202,0.2863561
020203,0.4663476
020204,0.3064311
020205,0.3334073
020301,0.4637197
020302,0.3935776
020303,0.4403282
020304,0.3882375
020305,0.4784931
020306,0.3055081
020401,0.3670824
020402,0.3942284
020501,0.6606795
020502,0.4146478
020503,0.3752664
020504,0.4365179
020505,0.4458984
020506,0.3855718
020507,0.3531918
020508,0.4395359
020509,0.3421434
020510,0.3519578
020511,0.3393014
020512,0.3527912
020513,0.3767355
020514,0.3960028
020515,0.3781938
020601,0.6952709
020602,1.2055462
020603,0.4801594
020604,0.728597
020605,0.4836189
020606,0.495684
020607,1.2141053
020608,0.3809588
020609,0.4082253
020610,1.2507791
020611,0.7476997
020701,0.4559266
020702,0.3226462
020703,0.3311632
020801,0.5414256
020802,0.4012504
020803,0.6094227
020804,0.3366677
020901,0.4179682
020902,0.3991988
020903,0.3323811
020904,0.3098872
020905,0.4820536
020906,0.3780248
020907,0.3125539
021001,0.4188429
021002,0.3597629
021003,0.3634003
021004,0.3685819
021005,0.3958328
021006,0.4218116
021007,0.3939314
021008,0.3617933
021009,0.4211207
021010,0.5525988
021011,0.3795789
021012,0.855346
021013,0.3109226
021014,1.7336173
021015,0.4473239
021016,0.3813448
021101,0.3837694
021102,0.2999929
021103,0.3408235
021104,0.3113984
021105,0.2904694
021201,0.8363804
021202,0.485756
021203,0.6298466
021204,0.6001772
021205,0.4236563
021206,0.3160129
021207,0.4582706
021208,0.3707701
021209,0.3986874
021210,0.3436266
021301,0.5878268
021302,0.4576142
021303,0.3805874
021304,0.35561160000000003
021305,0.4163774
021306,0.3827386
021307,0.3900426
021308,0.5119926
021401,0.3277193
021402,0.416947
021403,0.376709
021404,0.4043806
021405,0.363657
021406,0.3361199
021407,0.4186605
021408,0.4022737
021409,0.3088739
021410,0.3845842
021501,0.3905852
021502,0.3832504
021503,0.4058518
021504,0.4078987
021505,0.3678221
021506,0.496985
021507,0.4967728
021508,0.6589053
021509,0.3816422
021510,0.3356278
021511,0.3784468
021601,0.4233624
021602,0.3989833
021603,0.3665171
021604,0.4115988
021701,0.6775184
021702,0.3459161
021703,23.8298085
021704,0.3684091
021705,0.3657026
021706,0.3463672
021707,0.3770725
021708,0.3253192
021709,0.3334627
021710,0.5161137
021801,1.6672464
021802,0.3527904
021803,17.473833
021804,0.331185
021805,0.4755466
021806,0.7673815
021807,0.880035
021808,3.9274317
021809,3.7644049
021901,0.8787037
021902,0.3553294
021903,0.3583802
021904,0.503905
021905,0.3380732
021906,0.3443835
021907,0.4120308
021908,0.3213786
021909,0.3449717
021910,0.4177638
022001,0.7142417
022002,0.2893708
022003,0.8236909
022004,0.5236258
022005,0.3594599
022006,1.2222148
022007,0.3437851
022008,0.3603492
030101,1.368821
030102,0.2870548
030103,0.3110694
030104,0.4557898
030105,0.3354111
030106,0.3109164
030107,0.331299
030108,0.5394947
030109,1.4393532
030201,1.1279
030202,0.3372302
030203,0.2887662
030204,0.5211539
030205,0.3689206
030206,0.2737983
030207,0.3440084
030208,0.349324
030209,0.425238
030210,0.2546314
030211,0.2835821
030212,0.283341
030213,0.7062824
030214,0.3794862
030215,0.4477988
030216,0.6854852
030217,0.2769776
030218,0.3331173
030219,0.3432669
