ubigeo,department,province,district,nib_hogar,idh,monetary_poverty
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,0.099533437,0.605711277,0.09034625
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,0.711538462,0.421303484,0.36519949
010103,AMAZONAS,CHACHAPOYAS,BALSAS,0.292957746,0.294232045,0.45732962
010104,AMAZONAS,CHACHAPOYAS,CHETO,0.3,0.329548958,0.39169782
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,0.582524272,0.264602301,0.53045662
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,0.303308824,0.248890615,0.51607832
010107,AMAZONAS,CHACHAPOYAS,GRANADA,0.429487179,0.344243848,0.43865957
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,0.18699187,0.417402027,0.31977312
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,0.330615942,0.30315433,0.47947723
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,0.217075386,0.390026779,0.25741684
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,0.265873016,0.328212667,0.41081444
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0.195583596,0.44214476,0.30634088
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,0.157635468,0.452047433,0.39230882
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,0.369472183,0.360661043,0.35654304
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,0.12804878,0.430559209,0.38644489
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,0.837837838,0.38033464,0.479082
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,0.823728814,0.35698134,0.47119202
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0.254901961,0.466702104,0.29704094
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,0.267379679,0.269976168,0.43370115
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,0.28992629,0.344826143,0.41062364
010121,AMAZONAS,CHACHAPOYAS,SONCHE,0.61627907,0.358204715,0.55850202
010201,AMAZONAS,BAGUA,BAGUA,0.193216718,0.567283346,0.16212835
010202,AMAZONAS,BAGUA,ARAMANGO,0.555246699,0.340291272,0.38525807
010203,AMAZONAS,BAGUA,COPALLIN,0.385714286,0.466618002,0.24530258
010204,AMAZONAS,BAGUA,EL PARCO,0.530927835,0.46399637,0.35249588
010205,AMAZONAS,BAGUA,IMAZA,0.851686824,0.306399751,0.5394969
010206,AMAZONAS,BAGUA,LA PECA,0.345547074,0.447117561,0.34761666
010301,AMAZONAS,BONGARA,JUMBILLA,0.162895928,0.449179437,0.29547678
010302,AMAZONAS,BONGARA,CHISQUILLA,0.573913043,0.479139927,0.4224183
010303,AMAZONAS,BONGARA,CHURUJA,0.348314607,0.479957704,0.2078695
