ubigeo,department,province,district,population
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,32589
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,262
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1136
010104,AMAZONAS,CHACHAPOYAS,CHETO,642
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,585
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1781
010107,AMAZONAS,CHACHAPOYAS,GRANADA,480
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,1258
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,3978
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,3620
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,794
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,852
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1367
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2176
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,496
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,375
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,769
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,295
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,580
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1224
010121,AMAZONAS,CHACHAPOYAS,SONCHE,247
010201,AMAZONAS,BAGUA,BAGUA,27102
010202,AMAZONAS,BAGUA,ARAMANGO,9765
010203,AMAZONAS,BAGUA,COPALLIN,4595
010204,AMAZONAS,BAGUA,EL PARCO,1216
010205,AMAZONAS,BAGUA,IMAZA,25162
010206,AMAZONAS,BAGUA,LA PECA,6260
010301,AMAZONAS,BONGARA,JUMBILLA,1337
010302,AMAZONAS,BONGARA,CHISQUILLA,306
010303,AMAZONAS,BONGARA,CHURUJA,287
010304,AMAZONAS,BONGARA,COROSHA,772
010305,AMAZONAS,BONGARA,CUISPES,669
010306,AMAZONAS,BONGARA,FLORIDA,5999
010307,AMAZONAS,BONGARA,JAZAN,7580
010308,AMAZONAS,BONGARA,RECTA,208
010309,AMAZONAS,BONGARA,SAN CARLOS,489
010310,AMAZONAS,BONGARA,SHIPASBAMBA,1539
010311,AMAZONAS,BONGARA,VALERA,874
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,5577
010401,AMAZONAS,CONDORCANQUI,NIEVA,18626
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,9891
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,13953
010501,AMAZONAS,LUYA,LAMUD,2227
010502,AMAZONAS,LUYA,CAMPORREDONDO,6473
010503,AMAZONAS,LUYA,COCABAMBA,1881
010504,AMAZONAS,LUYA,COLCAMAR,1853
010505,AMAZONAS,LUYA,CONILA,1840
010506,AMAZONAS,LUYA,INGUILPATA,498
010507,AMAZONAS,LUYA,LONGUITA,839
010508,AMAZONAS,LUYA,LONYA CHICO,842
010509,AMAZONAS,LUYA,LUYA,3959
